flight_date,destination,flights
2025-10-09,JFK,37
2025-10-09,ATL,36
2025-10-09,ORD,29
2025-10-09,EWR,22
2025-10-09,PHL,21
2025-10-09,MIA,19
2025-10-09,DFW,18
2025-10-09,IAH,14
2025-10-09,SJU,12
2025-10-09,BOS,11
2025-10-09,SEA,11
2025-10-09,LGA,10
2025-10-09,CLT,9
2025-10-09,IAD,9
2025-10-09,BNA,8
2025-10-10,ATL,50
2025-10-10,BOS,37
2025-10-10,ORD,33
2025-10-10,LAX,22
2025-10-10,PHL,21
2025-10-10,EWR,17
2025-10-10,IAH,17
2025-10-10,IAD,13
2025-10-10,SLC,13
2025-10-10,DEN,12
2025-10-10,SFO,12
2025-10-10,CLT,11
2025-10-10,DFW,11
2025-10-10,MIA,10
2025-10-10,LGA,9
2025-10-11,JFK,50
2025-10-11,ATL,41
2025-10-11,ORD,26
2025-10-11,EWR,18
2025-10-11,DTW,14
2025-10-11,PHL,13
2025-10-11,DFW,11
2025-10-11,SFO,10
2025-10-11,BNA,8
2025-10-11,SJU,8
2025-10-11,BDL,6
2025-10-11,MIA,6
2025-10-11,MUC,6
2025-10-11,YYZ,6
2025-10-11,PHX,5
2025-10-12,ATL,59
2025-10-12,ORD,42
2025-10-12,MIA,24
2025-10-12,JFK,19
2025-10-12,CLT,14
2025-10-12,DFW,13
2025-10-12,EWR,13
2025-10-12,BOS,12
2025-10-12,LAX,12
2025-10-12,LGA,10
2025-10-12,SFO,10
2025-10-12,IAH,9
2025-10-12,LHR,8
2025-10-12,MSP,8
2025-10-12,MAN,6
2025-10-13,ATL,51
2025-10-13,JFK,43
2025-10-13,ORD,28
2025-10-13,PHL,21
2025-10-13,DFW,20
2025-10-13,LAX,19
2025-10-13,IAH,17
2025-10-13,MSP,11
2025-10-13,CLT,10
2025-10-13,DCA,10
2025-10-13,SLC,10
2025-10-13,LGA,9
2025-10-13,MIA,9
2025-10-13,RDU,9
2025-10-13,EWR,8
2025-10-14,ATL,34
2025-10-14,JFK,34
2025-10-14,ORD,21
2025-10-14,PHL,21
2025-10-14,EWR,18
2025-10-14,IAH,17
2025-10-14,LAX,16
2025-10-14,BOS,12
2025-10-14,DTW,10
2025-10-14,IAD,10
2025-10-14,SFO,10
2025-10-14,SLC,10
2025-10-14,DFW,9
2025-10-14,MIA,9
2025-10-14,DEN,8
2025-10-15,BOS,32
2025-10-15,ATL,28
2025-10-15,JFK,27
2025-10-15,ORD,21
2025-10-15,LAX,18
2025-10-15,IAD,14
2025-10-15,PHL,13
2025-10-15,MIA,12
2025-10-15,EWR,11
2025-10-15,IAH,11
2025-10-15,SFO,11
2025-10-15,DFW,10
2025-10-15,LGA,8
2025-10-15,DCA,7
2025-10-15,MSP,7
