flight_date,destination,flights
2025-10-16,ATL,47
2025-10-16,JFK,27
2025-10-16,ORD,25
2025-10-16,LAX,19
2025-10-16,DFW,16
2025-10-16,MIA,15
2025-10-16,EWR,14
2025-10-16,CLT,12
2025-10-16,IAD,12
2025-10-16,PHL,11
2025-10-16,DCA,10
2025-10-16,DEN,9
2025-10-16,SEA,9
2025-10-16,DTW,7
2025-10-16,IAH,7
2025-10-17,ATL,39
2025-10-17,JFK,38
2025-10-17,BOS,24
2025-10-17,EWR,22
2025-10-17,MIA,20
2025-10-17,DFW,19
2025-10-17,DTW,16
2025-10-17,IAH,16
2025-10-17,DEN,15
2025-10-17,ORD,12
2025-10-17,LAX,11
2025-10-17,LGA,10
2025-10-17,BNA,8
2025-10-17,IND,8
2025-10-17,PHL,8
2025-10-18,ATL,33
2025-10-18,JFK,31
2025-10-18,BOS,28
2025-10-18,ORD,20
2025-10-18,PHL,18
2025-10-18,EWR,17
2025-10-18,MIA,16
2025-10-18,IAD,14
2025-10-18,DTW,13
2025-10-18,LGW,12
2025-10-18,IAH,11
2025-10-18,LAX,11
2025-10-18,DFW,10
2025-10-18,SFO,10
2025-10-18,LGA,8
2025-10-19,ATL,52
2025-10-19,ORD,32
2025-10-19,BOS,31
2025-10-19,MIA,19
2025-10-19,DFW,18
2025-10-19,LAX,18
2025-10-19,DTW,15
2025-10-19,EWR,15
2025-10-19,IAH,14
2025-10-19,IAD,10
2025-10-19,SJU,10
2025-10-19,JFK,9
2025-10-19,BWI,8
2025-10-19,DEN,8
2025-10-19,IND,8
2025-10-20,JFK,38
2025-10-20,BOS,34
2025-10-20,DFW,22
2025-10-20,ORD,22
2025-10-20,IAH,19
2025-10-20,MIA,18
2025-10-20,EWR,17
2025-10-20,LAX,16
2025-10-20,PHL,16
2025-10-20,LGA,15
2025-10-20,ATL,13
2025-10-20,RDU,13
2025-10-20,SJU,10
2025-10-20,IAD,9
2025-10-20,SEA,9
2025-10-21,ATL,40
2025-10-21,ORD,38
2025-10-21,BOS,26
2025-10-21,MIA,23
2025-10-21,PHL,21
2025-10-21,DTW,16
2025-10-21,EWR,14
2025-10-21,LAX,14
2025-10-21,DFW,12
2025-10-21,IAH,12
2025-10-21,JFK,12
2025-10-21,DCA,9
2025-10-21,BWI,6
2025-10-21,FRA,6
2025-10-21,LGA,6
2025-10-22,ATL,37
2025-10-22,ORD,35
2025-10-22,MIA,23
2025-10-22,JFK,20
2025-10-22,EWR,19
2025-10-22,BOS,17
2025-10-22,DFW,17
2025-10-22,LAX,16
2025-10-22,DEN,13
2025-10-22,DTW,13
2025-10-22,LGA,13
2025-10-22,IAH,12
2025-10-22,IAD,11
2025-10-22,SEA,11
2025-10-22,SFO,10
