flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-10-16,383,356,210,65,1
2025-10-17,415,316,225,12,0
2025-10-18,399,384,253,35,2
2025-10-19,422,189,308,36,1
2025-10-20,444,574,262,88,2
2025-10-21,367,368,141,27,0
2025-10-22,389,339,168,29,0
