flight_date,origin,flights
2025-07-31,ATL,54
2025-07-31,JFK,49
2025-07-31,ORD,47
2025-07-31,BOS,37
2025-07-31,LAX,30
2025-07-31,MIA,30
2025-07-31,TPA,27
2025-07-31,DEN,26
2025-07-31,DFW,24
2025-07-31,EWR,24
2025-07-31,LGA,23
2025-07-31,SJU,23
2025-07-31,PHL,18
2025-07-31,DTW,16
2025-07-31,RDU,16
2025-08-01,JFK,57
2025-08-01,ATL,51
2025-08-01,ORD,48
2025-08-01,BOS,45
2025-08-01,MIA,35
2025-08-01,EWR,32
2025-08-01,SJU,26
2025-08-01,LAX,25
2025-08-01,DEN,23
2025-08-01,IAD,19
2025-08-01,PHL,19
2025-08-01,DFW,17
2025-08-01,LGA,17
2025-08-01,DTW,16
2025-08-01,RDU,16
2025-08-02,JFK,59
2025-08-02,ATL,52
2025-08-02,ORD,46
2025-08-02,BOS,41
2025-08-02,EWR,36
2025-08-02,LAX,28
2025-08-02,MIA,27
2025-08-02,SJU,27
2025-08-02,DEN,25
2025-08-02,PHL,23
2025-08-02,DFW,22
2025-08-02,IAH,20
2025-08-02,IAD,17
2025-08-02,LGA,17
2025-08-02,MSP,17
2025-08-03,JFK,74
2025-08-03,ATL,64
2025-08-03,ORD,45
2025-08-03,MIA,39
2025-08-03,EWR,36
2025-08-03,BOS,34
2025-08-03,SJU,28
2025-08-03,PHL,27
2025-08-03,DFW,23
2025-08-03,DEN,22
2025-08-03,IAD,20
2025-08-03,LGA,20
2025-08-03,LAX,18
2025-08-03,DTW,17
2025-08-03,IAH,17
2025-08-04,JFK,63
2025-08-04,ORD,45
2025-08-04,ATL,42
2025-08-04,MIA,40
2025-08-04,EWR,33
2025-08-04,PHL,26
2025-08-04,SJU,26
2025-08-04,LAX,25
2025-08-04,BOS,24
2025-08-04,DFW,20
2025-08-04,DEN,19
2025-08-04,DTW,19
2025-08-04,LGA,18
2025-08-04,CLT,17
2025-08-04,IAD,17
2025-08-05,ATL,50
2025-08-05,BOS,39
2025-08-05,JFK,39
2025-08-05,EWR,38
2025-08-05,ORD,38
2025-08-05,MIA,33
2025-08-05,PHL,27
2025-08-05,DFW,23
2025-08-05,LAX,22
2025-08-05,DEN,19
2025-08-05,IAD,19
2025-08-05,LGA,17
2025-08-05,IAH,15
2025-08-05,CLT,14
2025-08-05,SFO,13
2025-08-06,JFK,52
2025-08-06,ATL,50
2025-08-06,BOS,36
2025-08-06,ORD,35
2025-08-06,EWR,34
2025-08-06,MIA,25
2025-08-06,LAX,23
2025-08-06,IAH,20
2025-08-06,DFW,18
2025-08-06,PHL,18
2025-08-06,DEN,17
2025-08-06,LGA,17
2025-08-06,SJU,17
2025-08-06,LHR,15
2025-08-06,DTW,14
