flight_date,origin,flights
2025-09-11,BOS,24
2025-09-11,ORD,21
2025-09-11,MIA,18
2025-09-11,EWR,17
2025-09-11,IAH,15
2025-09-11,JFK,14
2025-09-11,LAX,13
2025-09-11,DFW,9
2025-09-11,LGW,9
2025-09-11,ATL,8
2025-09-11,LGA,7
2025-09-11,CLT,6
2025-09-11,CVG,6
2025-09-11,DEN,5
2025-09-11,IAD,5
2025-09-12,ATL,27
2025-09-12,JFK,15
2025-09-12,LAX,13
2025-09-12,EWR,12
2025-09-12,BOS,8
2025-09-12,CLT,8
2025-09-12,DTW,8
2025-09-12,MIA,8
2025-09-12,ORD,8
2025-09-12,PHL,8
2025-09-12,DFW,6
2025-09-12,FRA,6
2025-09-12,LGA,6
2025-09-12,RDU,6
2025-09-12,SJU,6
2025-09-13,ATL,37
2025-09-13,ORD,24
2025-09-13,JFK,22
2025-09-13,EWR,20
2025-09-13,IAD,20
2025-09-13,BOS,16
2025-09-13,IAH,14
2025-09-13,PHL,12
2025-09-13,MIA,11
2025-09-13,SJU,11
2025-09-13,LAX,10
2025-09-13,DFW,9
2025-09-13,DTW,9
2025-09-13,LGA,9
2025-09-13,DEN,8
2025-09-14,LAX,17
2025-09-14,ORD,14
2025-09-14,BOS,12
2025-09-14,ATL,8
2025-09-14,IAH,8
2025-09-14,SLC,7
2025-09-14,DEN,6
2025-09-14,LGW,6
2025-09-14,MSP,6
2025-09-14,SJU,6
2025-09-14,DFW,5
2025-09-14,RDU,5
2025-09-14,CMH,4
2025-09-14,DTW,4
2025-09-14,EWR,4
2025-09-15,ATL,24
2025-09-15,LAX,23
2025-09-15,JFK,21
2025-09-15,MIA,15
2025-09-15,EWR,13
2025-09-15,BOS,11
2025-09-15,ORD,10
2025-09-15,LGA,9
2025-09-15,SJU,9
2025-09-15,LGW,8
2025-09-15,IAH,7
2025-09-15,SEA,7
2025-09-15,YYZ,7
2025-09-15,BWI,6
2025-09-15,FRA,6
2025-09-16,ORD,26
2025-09-16,ATL,25
2025-09-16,MIA,22
2025-09-16,JFK,18
2025-09-16,BOS,17
2025-09-16,PHL,15
2025-09-16,DFW,14
2025-09-16,DTW,13
2025-09-16,SEA,13
2025-09-16,EWR,12
2025-09-16,DEN,11
2025-09-16,IAH,11
2025-09-16,RDU,11
2025-09-16,LGA,10
2025-09-16,SJU,10
2025-09-17,LAX,24
2025-09-17,JFK,22
2025-09-17,ORD,22
2025-09-17,ATL,18
2025-09-17,IAH,14
2025-09-17,DFW,12
2025-09-17,EWR,12
2025-09-17,IAD,11
2025-09-17,LGA,10
2025-09-17,SFO,10
2025-09-17,BOS,9
2025-09-17,DEN,9
2025-09-17,CLT,7
2025-09-17,SEA,7
2025-09-17,DTW,6
