flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-08-21,480,598,354,201,1
2025-08-22,429,411,391,110,4
2025-08-23,428,364,370,167,1
2025-08-24,389,547,243,59,2
2025-08-25,377,373,199,36,0
2025-08-26,355,414,183,37,1
2025-08-27,456,232,241,5,1
