flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-09-11,400,277,201,40,4
2025-09-12,383,292,234,20,0
2025-09-13,348,412,177,65,0
2025-09-14,426,184,191,4,0
2025-09-15,478,304,232,35,0
2025-09-16,304,366,111,31,0
2025-09-17,308,313,167,18,0
