flight_date,airline_name,airline_iata,flights
2025-10-16,Southwest Airlines,WN,83
2025-10-16,Delta Air Lines,DL,49
2025-10-16,American Airlines,AA,46
2025-10-16,Spirit Airlines,NK,38
2025-10-16,Azul,AD,35
2025-10-16,United Airlines,UA,33
2025-10-16,Virgin Atlantic,VS,32
2025-10-16,LATAM Airlines,LA,30
2025-10-16,JetBlue Airways,B6,29
2025-10-16,Frontier Airlines,F9,25
2025-10-16,Gol,G3,21
2025-10-16,Copa Airlines,CM,17
2025-10-16,Qatar Airways,QR,16
2025-10-16,Volaris,Y4,16
2025-10-16,WestJet,WS,14
2025-10-16,Hawaiian Airlines,HA,13
2025-10-16,Korean Air,KE,13
2025-10-16,Aeromexico,AM,12
2025-10-16,Air Canada,AC,12
2025-10-16,Air France,AF,12
2025-10-16,Breeze Airways,MX,11
2025-10-16,British Airways,BA,11
2025-10-16,KLM,KL,11
2025-10-16,Air New Zealand,NZ,9
2025-10-16,Iberia,IB,9
2025-10-16,Alaska Airlines,AS,8
2025-10-16,Qantas,QF,8
2025-10-16,Aer Lingus,EI,7
2025-10-16,AlphaSky,AS,7
2025-10-16,Air Canada Rouge,RV,6
2025-10-16,Air Tahiti Nui,TN,6
2025-10-16,NetJets Aviation,1I,6
2025-10-16,El Al,LY,5
2025-10-16,FedEx,FX,5
2025-10-16,Japan Airlines,JL,5
2025-10-16,SAS,SK,5
2025-10-16,Lufthansa,LH,4
2025-10-16,SA AVIANCA,AV,4
2025-10-16,TAP Air Portugal,TP,4
2025-10-16,empty,,4
2025-10-16,ANA,NH,3
2025-10-16,Alitalia,AZ,3
2025-10-16,Starlux,JX,3
2025-10-16,Sun Country Airlines,SY,3
2025-10-16,Virgin Australia,VA,3
2025-10-16,21 Air,2I,2
2025-10-16,Air Europa,UX,2
2025-10-16,Avelo Airlines,XP,2
2025-10-16,Brussels Airlines,SN,2
2025-10-16,Cathay Pacific,CX,2
2025-10-16,Etihad Airways,EY,2
2025-10-16,Fiji Airways,FJ,2
2025-10-16,Finnair,AY,2
2025-10-16,Flexjet,LXJ,2
2025-10-16,Turkish Airlines,TK,2
2025-10-16,VivaAerobus,VB,2
2025-10-16,Aerolineas Argentinas,AR,1
2025-10-16,Air Transat,TS,1
2025-10-16,Amerijet International,M6,1
2025-10-16,Austrian,OS,1
2025-10-16,Bahamasair,UP,1
2025-10-16,Baron Aviation Services,BVN,1
2025-10-16,China Eastern Airlines,MU,1
2025-10-16,Ethiopian Airlines,ET,1
2025-10-16,EuroAtlantic Airways,YU,1
2025-10-16,Gulf Air,GF,1
2025-10-16,Icelandair,FI,1
2025-10-16,LOT - Polish Airlines,LO,1
2025-10-16,Malaysia Airlines,MH,1
2025-10-16,Mountain Air Cargo,C2,1
2025-10-16,Philippine Airlines,PR,1
2025-10-16,Porter Airlines,PD,1
2025-10-16,Royal Air Maroc,AT,1
2025-10-16,Royal Jordanian,RJ,1
2025-10-16,SWISS,LX,1
2025-10-16,Slate Aviation,S9,1
2025-10-16,UPS Airlines,5X,1
2025-10-17,Southwest Airlines,WN,88
2025-10-17,Delta Air Lines,DL,58
2025-10-17,LATAM Airlines,LA,40
2025-10-17,American Airlines,AA,39
2025-10-17,Azul,AD,39
2025-10-17,Spirit Airlines,NK,36
2025-10-17,Frontier Airlines,F9,31
2025-10-17,JetBlue Airways,B6,30
2025-10-17,United Airlines,UA,30
2025-10-17,Virgin Atlantic,VS,30
2025-10-17,Volaris,Y4,26
2025-10-17,Aeromexico,AM,16
2025-10-17,Copa Airlines,CM,16
2025-10-17,Qatar Airways,QR,16
2025-10-17,WestJet,WS,16
2025-10-17,Air Canada,AC,13
2025-10-17,Air New Zealand,NZ,12
2025-10-17,Hawaiian Airlines,HA,12
2025-10-17,Air France,AF,11
2025-10-17,British Airways,BA,11
2025-10-17,Breeze Airways,MX,9
2025-10-17,Korean Air,KE,9
2025-10-17,Qantas,QF,9
2025-10-17,Gol,G3,8
2025-10-17,KLM,KL,8
2025-10-17,Aer Lingus,EI,6
2025-10-17,Icelandair,FI,6
2025-10-17,TAP Air Portugal,TP,6
2025-10-17,empty,,6
2025-10-17,Alaska Airlines,AS,5
2025-10-17,Iberia,IB,5
2025-10-17,Air Canada Rouge,RV,4
2025-10-17,El Al,LY,4
2025-10-17,SA AVIANCA,AV,4
2025-10-17,Turkish Airlines,TK,4
2025-10-17,Air Tahiti Nui,TN,3
2025-10-17,Brussels Airlines,SN,3
2025-10-17,LOT - Polish Airlines,LO,3
2025-10-17,SAS,SK,3
2025-10-17,Sun Country Airlines,SY,3
2025-10-17,Virgin Australia,VA,3
2025-10-17,ANA,NH,2
2025-10-17,Aerolineas Argentinas,AR,2
2025-10-17,Air Transat,TS,2
2025-10-17,AlphaSky,AS,2
2025-10-17,Caribbean Airlines,BW,2
2025-10-17,Emirates,EK,2
2025-10-17,Etihad Airways,EY,2
2025-10-17,Flexjet,LXJ,2
2025-10-17,Fly Alliance,,2
2025-10-17,Japan Airlines,JL,2
2025-10-17,Mountain Air Cargo,C2,2
2025-10-17,NetJets Aviation,1I,2
2025-10-17,Porter,PD,2
2025-10-17,STAjets,,2
