flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-08-07,925,746,190,24,13
2025-08-08,896,808,331,36,1
2025-08-09,1034,834,352,10,1
2025-08-10,990,856,182,42,4
2025-08-11,521,503,339,108,3
2025-08-12,344,413,182,46,4
2025-08-13,330,483,181,75,29
