flight_date,airline_name,airline_iata,flights
2025-08-21,Southwest Airlines,WN,98
2025-08-21,Azul,AD,73
2025-08-21,JetBlue Airways,B6,66
2025-08-21,American Airlines,AA,62
2025-08-21,Delta Air Lines,DL,60
2025-08-21,Spirit Airlines,NK,60
2025-08-21,LATAM Airlines,LA,45
2025-08-21,United Airlines,UA,39
2025-08-21,Frontier Airlines,F9,38
2025-08-21,Virgin Atlantic,VS,37
2025-08-21,Volaris,Y4,34
2025-08-21,Qatar Airways,QR,30
2025-08-21,British Airways,BA,26
2025-08-21,WestJet,WS,21
2025-08-21,Air New Zealand,NZ,20
2025-08-21,Gol,G3,19
2025-08-21,Aeromexico,AM,18
2025-08-21,Air Canada,AC,18
2025-08-21,Copa Airlines,CM,18
2025-08-21,Air France,AF,16
2025-08-21,KLM,KL,15
2025-08-21,Korean Air,KE,15
2025-08-21,Hawaiian Airlines,HA,14
2025-08-21,Iberia,IB,13
2025-08-21,Qantas,QF,13
2025-08-21,Aer Lingus,EI,12
2025-08-21,AlphaSky,AS,10
2025-08-21,Breeze Airways,MX,10
2025-08-21,UPS Airlines,5X,9
2025-08-21,empty,,9
2025-08-21,ANA,NH,8
2025-08-21,Icelandair,FI,8
2025-08-21,Air Canada Rouge,RV,7
2025-08-21,Air Tahiti Nui,TN,6
2025-08-21,Brussels Airlines,SN,6
2025-08-21,SA AVIANCA,AV,6
2025-08-21,TAP Air Portugal,TP,6
2025-08-21,Alaska Airlines,AS,5
2025-08-21,Cathay Pacific,CX,5
2025-08-21,El Al,LY,5
2025-08-21,Etihad Airways,EY,5
2025-08-21,Finnair,AY,5
2025-08-21,Japan Airlines,JL,5
2025-08-21,SWISS,LX,5
2025-08-21,Virgin Australia,VA,5
2025-08-21,Bahamasair,UP,4
2025-08-21,Lufthansa,LH,4
2025-08-21,21 Air,2I,3
2025-08-21,Alitalia,AZ,3
2025-08-21,FedEx,FX,3
2025-08-21,Gulf Air,GF,3
2025-08-21,LOT - Polish Airlines,LO,3
2025-08-21,Royal Air Maroc,AT,3
2025-08-21,Singapore Airlines,SQ,3
2025-08-21,Aerolineas Argentinas,AR,2
2025-08-21,Amerijet International,M6,2
2025-08-21,Austrian,OS,2
2025-08-21,DHL Air,D0,2
2025-08-21,Discover Airlines,4Y,2
2025-08-21,Fiji Airways,FJ,2
2025-08-21,Kenya Airways,KQ,2
2025-08-21,Malaysia Airlines,MH,2
2025-08-21,Philippine Airlines,PR,2
2025-08-21,Royal Jordanian,RJ,2
2025-08-21,SAS,SK,2
2025-08-21,Sun Country Airlines,SY,2
2025-08-21,Turkish Airlines,TK,2
2025-08-21,Air Europa,UX,1
2025-08-21,Air Serbia,JU,1
2025-08-21,Air Transat,TS,1
2025-08-21,Alaska Airlines (Seattle Mariners Livery),AS,1
2025-08-21,Allegiant Air,G4,1
2025-08-21,China Eastern Airlines,MU,1
2025-08-21,Emirates,EK,1
2025-08-21,Ethiopian Airlines,ET,1
2025-08-21,EuroAtlantic Airways,YU,1
2025-08-21,Fly Across,,1
2025-08-21,Mountain Air Cargo,C2,1
2025-08-21,NetJets Aviation,1I,1
2025-08-21,Norse,N0,1
2025-08-21,Norse UK,Z0,1
2025-08-21,Porter,PD,1
2025-08-21,Quest Diagnostics,LBQ,1
2025-08-21,Saudia,SV,1
2025-08-21,,A1,1
2025-08-22,Southwest Airlines,WN,88
2025-08-22,Delta Air Lines,DL,56
2025-08-22,Azul,AD,53
2025-08-22,Frontier Airlines,F9,43
2025-08-22,JetBlue Airways,B6,42
2025-08-22,Spirit Airlines,NK,42
2025-08-22,American Airlines,AA,38
2025-08-22,Volaris,Y4,35
2025-08-22,LATAM Airlines,LA,33
2025-08-22,United Airlines,UA,30
2025-08-22,Virgin Atlantic,VS,30
2025-08-22,WestJet,WS,19
2025-08-22,Aeromexico,AM,18
2025-08-22,Qatar Airways,QR,18
2025-08-22,Air France,AF,14
2025-08-22,British Airways,BA,14
2025-08-22,Copa Airlines,CM,14
2025-08-22,Gol,G3,13
2025-08-22,Korean Air,KE,13
2025-08-22,Air Canada,AC,12
2025-08-22,KLM,KL,12
2025-08-22,Air New Zealand,NZ,11
2025-08-22,Qantas,QF,11
2025-08-22,Aer Lingus,EI,10
2025-08-22,Hawaiian Airlines,HA,9
2025-08-22,TAP Air Portugal,TP,9
2025-08-22,Breeze Airways,MX,8
2025-08-22,SA AVIANCA,AV,8
2025-08-22,Iberia,IB,7
2025-08-22,Icelandair,FI,7
2025-08-22,Etihad Airways,EY,6
2025-08-22,Japan Airlines,JL,6
2025-08-22,SAS,SK,6
2025-08-22,AlphaSky,AS,5
2025-08-22,ANA,NH,4
2025-08-22,Air Canada Rouge,RV,4
2025-08-22,Air Tahiti Nui,TN,4
2025-08-22,Brussels Airlines,SN,4
2025-08-22,FedEx,FX,4
2025-08-22,Malaysia Airlines,MH,4
2025-08-22,Royal Air Maroc,AT,4
2025-08-22,Turkish Airlines,TK,4
2025-08-22,empty,,4
2025-08-22,Alitalia,AZ,3
2025-08-22,Allegiant Air,G4,3
2025-08-22,Avelo Airlines,XP,3
2025-08-22,Cathay Pacific,CX,3
2025-08-22,LOT - Polish Airlines,LO,3
2025-08-22,Lufthansa,LH,3
2025-08-22,Philippine Airlines,PR,3
2025-08-22,Singapore Airlines,SQ,3
2025-08-22,UPS Airlines,5X,3
2025-08-22,Virgin Australia,VA,3
2025-08-22,Air Europa,UX,2
2025-08-22,Air Serbia,JU,2
2025-08-22,Air Transat,TS,2
2025-08-22,Amerijet International,M6,2
2025-08-22,Austrian,OS,2
2025-08-22,El Al,LY,2
2025-08-22,Emirates,EK,2
2025-08-22,Finnair,AY,2
2025-08-22,National Airlines,N8,2
2025-08-22,Sun Country Airlines,SY,2
2025-08-22,21 Air,2I,1
2025-08-22,Aerolineas Argentinas,AR,1
2025-08-22,Alaska Airlines,AS,1
2025-08-22,Caribbean Airlines,BW,1
2025-08-22,China Eastern Airlines,MU,1
2025-08-22,China Southern Airlines,CZ,1
2025-08-22,DHL Air,D0,1
2025-08-22,Ethiopian Airlines,ET,1
2025-08-22,Norse UK,Z0,1
2025-08-22,Porter,PD,1
2025-08-22,Porter Airlines,PD,1
2025-08-22,SWISS,LX,1
2025-08-22,Saudia,SV,1
2025-08-22,VivaAerobus,VB,1
2025-08-23,Southwest Airlines,WN,94
2025-08-23,Azul,AD,56
2025-08-23,Delta Air Lines,DL,48
2025-08-23,JetBlue Airways,B6,46
2025-08-23,Spirit Airlines,NK,40
2025-08-23,American Airlines,AA,36
2025-08-23,United Airlines,UA,34
2025-08-23,LATAM Airlines,LA,32
2025-08-23,Frontier Airlines,F9,28
2025-08-23,Virgin Atlantic,VS,27
2025-08-23,Volaris,Y4,20
2025-08-23,Aeromexico,AM,17
2025-08-23,Qatar Airways,QR,17
2025-08-23,WestJet,WS,16
2025-08-23,Air Canada,AC,15
2025-08-23,Air France,AF,15
2025-08-23,Air New Zealand,NZ,14
2025-08-23,British Airways,BA,14
2025-08-23,Hawaiian Airlines,HA,14
2025-08-23,KLM,KL,14
2025-08-23,Copa Airlines,CM,12
2025-08-23,Korean Air,KE,12
2025-08-23,Aer Lingus,EI,11
