flight_date,airline_name,airline_iata,flights
2025-07-31,Southwest Airlines,WN,233
2025-07-31,Delta Air Lines,DL,136
2025-07-31,JetBlue Airways,B6,114
2025-07-31,American Airlines,AA,106
2025-07-31,Azul,AD,101
2025-07-31,Spirit Airlines,NK,98
2025-07-31,United Airlines,UA,88
2025-07-31,Frontier Airlines,F9,87
2025-07-31,LATAM Airlines,LA,71
2025-07-31,Virgin Atlantic,VS,71
2025-07-31,Volaris,Y4,50
2025-07-31,Qatar Airways,QR,37
2025-07-31,WestJet,WS,37
2025-07-31,Aeromexico,AM,34
2025-07-31,Copa Airlines,CM,33
2025-07-31,British Airways,BA,31
2025-07-31,Gol,G3,30
2025-07-31,Air Canada,AC,29
2025-07-31,Breeze Airways,MX,24
2025-07-31,Hawaiian Airlines,HA,23
2025-07-31,Aer Lingus,EI,22
2025-07-31,Air France,AF,22
2025-07-31,Air New Zealand,NZ,22
2025-07-31,Iberia,IB,20
2025-07-31,Korean Air,KE,20
2025-07-31,KLM,KL,18
2025-07-31,El Al,LY,16
2025-07-31,Qantas,QF,14
2025-07-31,TAP Air Portugal,TP,14
2025-07-31,Icelandair,FI,13
2025-07-31,AlphaSky,AS,12
2025-07-31,SA AVIANCA,AV,11
2025-07-31,Air Canada Rouge,RV,10
2025-07-31,Alaska Airlines,AS,10
2025-07-31,Brussels Airlines,SN,10
2025-07-31,FedEx,FX,10
2025-07-31,Japan Airlines,JL,10
2025-07-31,Lufthansa,LH,9
2025-07-31,Etihad Airways,EY,7
2025-07-31,Finnair,AY,7
2025-07-31,LOT - Polish Airlines,LO,7
2025-07-31,UPS Airlines,5X,7
2025-07-31,empty,,7
2025-07-31,ANA,NH,6
2025-07-31,Austrian,OS,6
2025-07-31,NetJets Aviation,1I,6
2025-07-31,SAS,SK,6
2025-07-31,SWISS,LX,6
2025-07-31,Virgin Australia,VA,6
2025-07-31,Air Europa,UX,5
2025-07-31,Air Tahiti Nui,TN,5
2025-07-31,Air Transat,TS,5
2025-07-31,Alitalia,AZ,5
2025-07-31,Singapore Airlines,SQ,5
2025-07-31,Aerolineas Argentinas,AR,4
2025-07-31,Cathay Pacific,CX,4
2025-07-31,Discover Airlines,4Y,4
2025-07-31,Porter,PD,4
2025-07-31,Turkish Airlines,TK,4
2025-07-31,Bahamasair,UP,3
2025-07-31,Kenya Airways,KQ,3
2025-07-31,Malaysia Airlines,MH,3
2025-07-31,Philippine Airlines,PR,3
2025-07-31,Royal Jordanian,RJ,3
2025-07-31,Air Serbia,JU,2
2025-07-31,Baron Aviation Services,BVN,2
2025-07-31,China Eastern Airlines,MU,2
2025-07-31,DHL Air,D0,2
2025-07-31,Emirates,EK,2
2025-07-31,Fiji Airways,FJ,2
2025-07-31,Gulf Air,GF,2
2025-07-31,Norse,N0,2
2025-07-31,Saudia,SV,2
2025-07-31,VivaAerobus,VB,2
2025-07-31,flyExclusive,,2
2025-07-31,,A1,2
2025-07-31,Aircraft Management Group,,1
2025-07-31,Alaska Airlines (Oneworld Livery),AS,1
2025-07-31,Alaska airlines,AS,1
2025-07-31,Allegiant Air,G4,1
2025-07-31,Avelo Airlines,XP,1
2025-07-31,Condor,DE,1
2025-07-31,Contour Aviation,LF,1
2025-07-31,Flexjet,LXJ,1
2025-07-31,National Jets,,1
2025-07-31,Porter Airlines,PD,1
2025-07-31,Porter Airlines Canada,PD,1
2025-07-31,Royal Air Maroc,AT,1
2025-07-31,Sun Country Airlines,SY,1
2025-08-01,Southwest Airlines,WN,215
2025-08-01,Delta Air Lines,DL,127
2025-08-01,JetBlue Airways,B6,116
2025-08-01,Azul,AD,104
2025-08-01,Spirit Airlines,NK,103
2025-08-01,American Airlines,AA,101
2025-08-01,Frontier Airlines,F9,91
2025-08-01,United Airlines,UA,88
2025-08-01,Virgin Atlantic,VS,69
2025-08-01,LATAM Airlines,LA,66
2025-08-01,Volaris,Y4,60
2025-08-01,Qatar Airways,QR,37
2025-08-01,Aeromexico,AM,35
2025-08-01,WestJet,WS,35
2025-08-01,Copa Airlines,CM,33
2025-08-01,British Airways,BA,29
2025-08-01,Air Canada,AC,28
2025-08-01,KLM,KL,27
2025-08-01,Air New Zealand,NZ,24
2025-08-01,Air France,AF,22
2025-08-01,Gol,G3,21
2025-08-01,Hawaiian Airlines,HA,21
2025-08-01,Breeze Airways,MX,20
2025-08-01,Aer Lingus,EI,19
