flight_date,origin,flights
2025-08-07,JFK,48
2025-08-07,ATL,46
2025-08-07,ORD,43
2025-08-07,EWR,33
2025-08-07,PHL,31
2025-08-07,MIA,30
2025-08-07,SJU,27
2025-08-07,DEN,22
2025-08-07,BOS,20
2025-08-07,LAX,18
2025-08-07,DTW,17
2025-08-07,RDU,16
2025-08-07,CLT,15
2025-08-07,LGA,15
2025-08-07,DFW,14
2025-08-08,ORD,51
2025-08-08,ATL,43
2025-08-08,JFK,36
2025-08-08,EWR,34
2025-08-08,MIA,32
2025-08-08,BOS,30
2025-08-08,PHL,28
2025-08-08,LAX,25
2025-08-08,IAH,23
2025-08-08,SJU,22
2025-08-08,DFW,21
2025-08-08,DEN,18
2025-08-08,IAD,17
2025-08-08,DCA,14
2025-08-08,MSP,13
2025-08-09,ATL,51
2025-08-09,JFK,48
2025-08-09,MIA,41
2025-08-09,LAX,37
2025-08-09,ORD,35
2025-08-09,EWR,32
2025-08-09,SJU,28
2025-08-09,PHL,27
2025-08-09,DFW,24
2025-08-09,BOS,22
2025-08-09,DTW,21
2025-08-09,LGA,20
2025-08-09,IAD,19
2025-08-09,DEN,16
2025-08-09,SLC,15
2025-08-10,JFK,66
2025-08-10,ATL,47
2025-08-10,BOS,39
2025-08-10,EWR,36
2025-08-10,ORD,31
2025-08-10,PHL,30
2025-08-10,LAX,25
2025-08-10,MIA,25
2025-08-10,DFW,23
2025-08-10,SJU,23
2025-08-10,LGA,20
2025-08-10,DTW,18
2025-08-10,DEN,17
2025-08-10,IAD,17
2025-08-10,RDU,17
2025-08-11,ATL,28
2025-08-11,EWR,28
2025-08-11,ORD,28
2025-08-11,JFK,27
2025-08-11,MIA,20
2025-08-11,BOS,17
2025-08-11,IAH,15
2025-08-11,LGW,14
2025-08-11,DFW,13
2025-08-11,LAX,13
2025-08-11,PHL,13
2025-08-11,DEN,12
2025-08-11,RDU,12
2025-08-11,SJU,11
2025-08-11,CLT,10
2025-08-12,JFK,39
2025-08-12,MIA,30
2025-08-12,ATL,25
2025-08-12,ORD,23
2025-08-12,DEN,17
2025-08-12,EWR,17
2025-08-12,PHL,15
2025-08-12,IAH,14
2025-08-12,IAD,13
2025-08-12,BOS,12
2025-08-12,DFW,11
2025-08-12,CLT,9
2025-08-12,DTW,9
2025-08-12,LGA,9
2025-08-12,PTY,8
2025-08-13,JFK,43
2025-08-13,ATL,31
2025-08-13,EWR,28
2025-08-13,BOS,23
2025-08-13,DEN,20
2025-08-13,PHL,19
2025-08-13,SFO,18
2025-08-13,LAX,14
2025-08-13,DTW,13
2025-08-13,LGA,12
2025-08-13,ORD,12
2025-08-13,IAH,11
2025-08-13,SJU,11
2025-08-13,DFW,10
2025-08-13,MIA,10
