flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-09-25,360,341,241,108,0
2025-09-26,444,372,280,77,2
2025-09-27,426,262,230,19,0
2025-09-28,417,513,283,44,3
2025-09-29,464,194,250,37,4
2025-09-30,308,475,131,22,0
2025-10-01,371,437,122,35,2
