flight_date,destination,flights
2025-08-07,JFK,81
2025-08-07,ATL,67
2025-08-07,ORD,55
2025-08-07,BOS,47
2025-08-07,EWR,36
2025-08-07,MIA,31
2025-08-07,LAX,30
2025-08-07,DFW,24
2025-08-07,SJU,20
2025-08-07,DTW,19
2025-08-07,LGA,19
2025-08-07,CLT,18
2025-08-07,DEN,18
2025-08-07,IAH,18
2025-08-07,IAD,17
2025-08-08,ATL,70
2025-08-08,JFK,64
2025-08-08,BOS,47
2025-08-08,ORD,45
2025-08-08,EWR,36
2025-08-08,MIA,30
2025-08-08,PHL,30
2025-08-08,DEN,20
2025-08-08,DFW,20
2025-08-08,DTW,20
2025-08-08,SJU,20
2025-08-08,LGA,18
2025-08-08,IAD,17
2025-08-08,DCA,15
2025-08-08,IAH,15
2025-08-09,ATL,68
2025-08-09,JFK,67
2025-08-09,BOS,54
2025-08-09,ORD,46
2025-08-09,EWR,44
2025-08-09,MIA,43
2025-08-09,LAX,37
2025-08-09,PHL,31
2025-08-09,SJU,28
2025-08-09,DTW,25
2025-08-09,DFW,24
2025-08-09,LGA,24
2025-08-09,DEN,20
2025-08-09,IAH,20
2025-08-09,SFO,18
2025-08-10,JFK,92
2025-08-10,ATL,69
2025-08-10,ORD,53
2025-08-10,BOS,45
2025-08-10,EWR,40
2025-08-10,LAX,39
2025-08-10,MIA,35
2025-08-10,PHL,28
2025-08-10,SJU,25
2025-08-10,DFW,24
2025-08-10,DEN,20
2025-08-10,LGA,20
2025-08-10,DTW,18
2025-08-10,IAD,16
2025-08-10,IAH,16
2025-08-11,ATL,56
2025-08-11,JFK,52
2025-08-11,MIA,30
2025-08-11,BOS,29
2025-08-11,LAX,26
2025-08-11,PHL,21
2025-08-11,ORD,20
2025-08-11,EWR,19
2025-08-11,SFO,17
2025-08-11,IAD,16
2025-08-11,IAH,13
2025-08-11,DFW,12
2025-08-11,LGA,11
2025-08-11,DEN,8
2025-08-11,SAN,8
2025-08-12,ATL,37
2025-08-12,LAX,24
2025-08-12,ORD,24
2025-08-12,JFK,22
2025-08-12,BOS,20
2025-08-12,DFW,15
2025-08-12,EWR,15
2025-08-12,IAD,10
2025-08-12,MIA,10
2025-08-12,PHL,10
2025-08-12,SEA,10
2025-08-12,DTW,9
2025-08-12,IAH,9
2025-08-12,LGA,8
2025-08-12,LHR,8
2025-08-13,ATL,38
2025-08-13,ORD,23
2025-08-13,JFK,20
2025-08-13,MIA,16
2025-08-13,SFO,14
2025-08-13,EWR,13
2025-08-13,DFW,12
2025-08-13,IAH,10
2025-08-13,LAX,10
2025-08-13,LGA,10
2025-08-13,DCA,9
2025-08-13,PHL,9
2025-08-13,SJU,9
2025-08-13,DEN,7
2025-08-13,BOS,6
