flight_date,destination,flights
2025-07-31,JFK,76
2025-07-31,ATL,73
2025-07-31,ORD,58
2025-07-31,BOS,49
2025-07-31,EWR,45
2025-07-31,MIA,39
2025-07-31,PHL,32
2025-07-31,DFW,26
2025-07-31,LAX,26
2025-07-31,SJU,26
2025-07-31,DEN,24
2025-07-31,LGA,21
2025-07-31,DTW,19
2025-07-31,IAD,18
2025-07-31,IAH,18
2025-08-01,ATL,75
2025-08-01,JFK,68
2025-08-01,BOS,51
2025-08-01,ORD,49
2025-08-01,EWR,37
2025-08-01,MIA,35
2025-08-01,DFW,30
2025-08-01,LAX,29
2025-08-01,PHL,24
2025-08-01,SJU,24
2025-08-01,DEN,23
2025-08-01,DTW,20
2025-08-01,IAH,19
2025-08-01,IAD,16
2025-08-01,CLT,15
2025-08-02,JFK,65
2025-08-02,ATL,61
2025-08-02,ORD,40
2025-08-02,BOS,39
2025-08-02,LAX,38
2025-08-02,MIA,38
2025-08-02,EWR,36
2025-08-02,PHL,29
2025-08-02,DTW,25
2025-08-02,DFW,22
2025-08-02,SJU,22
2025-08-02,IAH,19
2025-08-02,DEN,18
2025-08-02,LGA,18
2025-08-02,SFO,18
2025-08-03,JFK,82
2025-08-03,ATL,72
2025-08-03,BOS,47
2025-08-03,ORD,47
2025-08-03,EWR,42
2025-08-03,MIA,40
2025-08-03,LAX,28
2025-08-03,PHL,25
2025-08-03,DEN,22
2025-08-03,DFW,22
2025-08-03,DTW,20
2025-08-03,LGA,20
2025-08-03,IAH,19
2025-08-03,CLT,16
2025-08-03,IAD,16
2025-08-04,JFK,93
2025-08-04,ATL,75
2025-08-04,ORD,55
2025-08-04,BOS,53
2025-08-04,EWR,39
2025-08-04,LAX,38
2025-08-04,MIA,38
2025-08-04,PHL,30
2025-08-04,DFW,27
2025-08-04,SJU,25
2025-08-04,DEN,22
2025-08-04,DTW,21
2025-08-04,IAH,21
2025-08-04,IAD,18
2025-08-04,LGA,18
2025-08-05,JFK,63
2025-08-05,ATL,62
2025-08-05,ORD,43
2025-08-05,BOS,35
2025-08-05,EWR,35
2025-08-05,MIA,32
2025-08-05,DFW,27
2025-08-05,LAX,21
2025-08-05,SJU,20
2025-08-05,LGA,18
2025-08-05,DTW,17
2025-08-05,PHL,17
2025-08-05,DCA,14
2025-08-05,IAH,14
2025-08-05,SEA,14
2025-08-06,JFK,87
2025-08-06,ATL,57
2025-08-06,BOS,46
2025-08-06,ORD,44
2025-08-06,EWR,31
2025-08-06,LAX,31
2025-08-06,MIA,28
2025-08-06,DFW,24
2025-08-06,SJU,24
2025-08-06,PHL,22
2025-08-06,LGA,19
2025-08-06,DEN,18
2025-08-06,IAH,18
2025-08-06,DTW,17
2025-08-06,IAD,16
