flight_date,airline_name,airline_iata,flights
2025-09-18,Southwest Airlines,WN,88
2025-09-18,Delta Air Lines,DL,53
2025-09-18,Spirit Airlines,NK,49
2025-09-18,American Airlines,AA,48
2025-09-18,Azul,AD,45
2025-09-18,LATAM Airlines,LA,42
2025-09-18,United Airlines,UA,36
2025-09-18,Frontier Airlines,F9,33
2025-09-18,JetBlue Airways,B6,31
2025-09-18,Virgin Atlantic,VS,31
2025-09-18,Volaris,Y4,28
2025-09-18,Air Canada,AC,20
2025-09-18,Qatar Airways,QR,20
2025-09-18,British Airways,BA,18
2025-09-18,Gol,G3,17
2025-09-18,Copa Airlines,CM,16
2025-09-18,Aeromexico,AM,14
2025-09-18,Aer Lingus,EI,13
2025-09-18,Air France,AF,12
2025-09-18,Air New Zealand,NZ,12
2025-09-18,WestJet,WS,12
2025-09-18,empty,,12
2025-09-18,Qantas,QF,11
2025-09-18,Breeze Airways,MX,10
2025-09-18,KLM,KL,10
2025-09-18,Hawaiian Airlines,HA,9
2025-09-18,Iberia,IB,9
2025-09-18,Korean Air,KE,9
2025-09-18,Lufthansa,LH,7
2025-09-18,UPS Airlines,5X,7
2025-09-18,El Al,LY,6
2025-09-18,SA AVIANCA,AV,6
2025-09-18,ANA,NH,5
2025-09-18,Brussels Airlines,SN,5
2025-09-18,Etihad Airways,EY,5
2025-09-18,Icelandair,FI,5
2025-09-18,Air Canada Rouge,RV,4
2025-09-18,Alaska Airlines,AS,4
2025-09-18,FedEx,FX,4
2025-09-18,Finnair,AY,4
2025-09-18,Japan Airlines,JL,4
2025-09-18,Air Tahiti Nui,TN,3
2025-09-18,AlphaSky,AS,3
2025-09-18,Austrian,OS,3
2025-09-18,Cathay Pacific,CX,3
2025-09-18,Fiji Airways,FJ,3
2025-09-18,TAP Air Portugal,TP,3
2025-09-18,21 Air,2I,2
2025-09-18,Aerolineas Argentinas,AR,2
2025-09-18,Alitalia,AZ,2
2025-09-18,Avelo Airlines,XP,2
2025-09-18,EuroAtlantic Airways,YU,2
2025-09-18,Gulf Air,GF,2
2025-09-18,LOT - Polish Airlines,LO,2
2025-09-18,Malaysia Airlines,MH,2
2025-09-18,Philippine Airlines,PR,2
2025-09-18,Quest Diagnostics,LBQ,2
2025-09-18,Royal Air Maroc,AT,2
2025-09-18,SWISS,LX,2
2025-09-18,Singapore Airlines,SQ,2
2025-09-18,Sun Country Airlines,SY,2
2025-09-18,Air Serbia,JU,1
2025-09-18,Air Transat,TS,1
2025-09-18,Allegiant Air,G4,1
2025-09-18,Amerijet International,M6,1
2025-09-18,Cargojet,W8,1
2025-09-18,Discover Airlines,4Y,1
2025-09-18,Ethiopian Airlines,ET,1
2025-09-18,National Airlines,N8,1
2025-09-18,NetJets Aviation,1I,1
2025-09-18,Porter Airlines,PD,1
2025-09-18,Royal Jordanian,RJ,1
2025-09-18,Turkish Airlines,TK,1
2025-09-18,Virgin Australia,VA,1
2025-09-18,VivaAerobus,VB,1
2025-09-19,Southwest Airlines,WN,98
2025-09-19,Delta Air Lines,DL,48
2025-09-19,Spirit Airlines,NK,42
2025-09-19,American Airlines,AA,37
