flight_date,origin,flights
2025-08-21,JFK,61
2025-08-21,MIA,38
2025-08-21,ORD,34
2025-08-21,ATL,30
2025-08-21,PHL,26
2025-08-21,EWR,22
2025-08-21,BOS,20
2025-08-21,LGA,19
2025-08-21,SJU,16
2025-08-21,DFW,14
2025-08-21,DTW,14
2025-08-21,LAX,13
2025-08-21,IAH,11
2025-08-21,BDL,10
2025-08-21,DCA,10
2025-08-22,JFK,35
2025-08-22,ATL,27
2025-08-22,MIA,25
2025-08-22,ORD,25
2025-08-22,BOS,22
2025-08-22,LAX,17
2025-08-22,DEN,14
2025-08-22,EWR,14
2025-08-22,LGA,12
2025-08-22,SJU,12
2025-08-22,IAD,9
2025-08-22,PHL,9
2025-08-22,DFW,8
2025-08-22,CLE,7
2025-08-22,DTW,7
2025-08-23,JFK,35
2025-08-23,ATL,24
2025-08-23,BOS,21
2025-08-23,ORD,21
2025-08-23,EWR,18
2025-08-23,MIA,16
2025-08-23,IAH,11
2025-08-23,BDL,8
2025-08-23,DFW,8
2025-08-23,IAD,8
2025-08-23,DEN,7
2025-08-23,DTW,7
2025-08-23,SJU,7
2025-08-23,SLC,7
2025-08-23,FRA,6
2025-08-24,ATL,45
2025-08-24,JFK,31
2025-08-24,ORD,28
2025-08-24,BOS,25
2025-08-24,MIA,24
2025-08-24,EWR,21
2025-08-24,LGA,17
2025-08-24,PHL,17
2025-08-24,IAD,15
2025-08-24,SEA,14
2025-08-24,DFW,13
2025-08-24,LAX,12
2025-08-24,SJU,12
2025-08-24,DEN,11
2025-08-24,CLT,10
2025-08-25,ATL,40
2025-08-25,JFK,20
2025-08-25,BOS,16
2025-08-25,PHL,16
2025-08-25,MIA,12
2025-08-25,DTW,11
2025-08-25,ORD,11
2025-08-25,EWR,10
2025-08-25,SEA,10
2025-08-25,IAD,9
2025-08-25,SJU,9
2025-08-25,CVG,8
2025-08-25,DCA,8
2025-08-25,DFW,7
2025-08-25,LGA,7
2025-08-26,ATL,37
2025-08-26,JFK,34
2025-08-26,BOS,25
2025-08-26,ORD,21
2025-08-26,PHL,17
2025-08-26,DFW,15
2025-08-26,EWR,13
2025-08-26,LAX,12
2025-08-26,IAH,11
2025-08-26,DTW,10
2025-08-26,MIA,10
2025-08-26,CVG,8
2025-08-26,IAD,8
2025-08-26,MSP,8
2025-08-26,BWI,7
2025-08-27,ATL,23
2025-08-27,MIA,19
2025-08-27,ORD,14
2025-08-27,PHL,13
2025-08-27,IAH,12
2025-08-27,BOS,10
2025-08-27,DFW,10
2025-08-27,JFK,10
2025-08-27,CLE,8
2025-08-27,LHR,8
2025-08-27,DEN,7
2025-08-27,MSP,7
2025-08-27,CVG,6
2025-08-27,DTW,6
2025-08-27,PTY,6
