flight_date,airline_name,airline_iata,flights
2025-08-07,Southwest Airlines,WN,187
2025-08-07,Delta Air Lines,DL,126
2025-08-07,JetBlue Airways,B6,112
2025-08-07,Spirit Airlines,NK,98
2025-08-07,American Airlines,AA,96
2025-08-07,Frontier Airlines,F9,91
2025-08-07,Azul,AD,84
2025-08-07,United Airlines,UA,78
2025-08-07,Virgin Atlantic,VS,64
2025-08-07,LATAM Airlines,LA,58
2025-08-07,Volaris,Y4,53
2025-08-07,Qatar Airways,QR,35
2025-08-07,WestJet,WS,31
2025-08-07,Copa Airlines,CM,29
2025-08-07,Gol,G3,29
2025-08-07,Air Canada,AC,28
2025-08-07,Aeromexico,AM,26
2025-08-07,British Airways,BA,26
2025-08-07,Air France,AF,24
2025-08-07,Air New Zealand,NZ,23
2025-08-07,KLM,KL,23
2025-08-07,Breeze Airways,MX,22
2025-08-07,El Al,LY,17
2025-08-07,Hawaiian Airlines,HA,17
2025-08-07,Iberia,IB,17
2025-08-07,Aer Lingus,EI,16
2025-08-07,Icelandair,FI,12
2025-08-07,Korean Air,KE,11
2025-08-07,Qantas,QF,11
2025-08-07,Air Canada Rouge,RV,10
2025-08-07,Alaska Airlines,AS,10
2025-08-07,FedEx,FX,9
2025-08-07,Lufthansa,LH,9
2025-08-07,TAP Air Portugal,TP,9
2025-08-07,empty,,9
2025-08-07,Brussels Airlines,SN,8
2025-08-07,SA AVIANCA,AV,8
2025-08-07,SAS,SK,8
2025-08-07,Etihad Airways,EY,7
2025-08-07,Japan Airlines,JL,7
2025-08-07,Singapore Airlines,SQ,7
2025-08-07,UPS Airlines,5X,7
2025-08-07,Air Tahiti Nui,TN,6
2025-08-07,Air Transat,TS,6
2025-08-07,AlphaSky,AS,6
2025-08-07,LOT - Polish Airlines,LO,6
2025-08-07,Turkish Airlines,TK,6
2025-08-07,ANA,NH,5
2025-08-07,Air Europa,UX,5
2025-08-07,Alitalia,AZ,5
2025-08-07,Bahamasair,UP,5
2025-08-07,Austrian,OS,4
2025-08-07,Cathay Pacific,CX,4
2025-08-07,Kenya Airways,KQ,4
2025-08-07,SWISS,LX,4
2025-08-07,Virgin Australia,VA,4
2025-08-07,Aerolineas Argentinas,AR,3
2025-08-07,Discover Airlines,4Y,3
2025-08-07,Royal Jordanian,RJ,3
2025-08-07,Sun Country Airlines,SY,3
2025-08-07,Baron Aviation Services,BVN,2
2025-08-07,Emirates,EK,2
2025-08-07,Finnair,AY,2
2025-08-07,Flexjet,LXJ,2
2025-08-07,Malaysia Airlines,MH,2
2025-08-07,Philippine Airlines,PR,2
2025-08-07,Porter,PD,2
2025-08-07,Porter Airlines Canada,PD,2
2025-08-07,Saudia,SV,2
2025-08-07,VivaAerobus,VB,2
2025-08-07,21 Air,2I,1
2025-08-07,Air Serbia,JU,1
2025-08-07,AirNet,USC,1
2025-08-07,Alaska Airlines (UNCF Livery),AS,1
2025-08-07,Allegiant Air,G4,1
2025-08-07,Amerijet International,M6,1
