flight_date,origin,flights
2025-09-18,ORD,37
2025-09-18,JFK,32
2025-09-18,ATL,31
2025-09-18,BOS,27
2025-09-18,MIA,27
2025-09-18,EWR,23
2025-09-18,IAD,20
2025-09-18,PHL,18
2025-09-18,DEN,16
2025-09-18,LAX,16
2025-09-18,DFW,13
2025-09-18,IAH,13
2025-09-18,LGW,11
2025-09-18,SJU,10
2025-09-18,CVG,8
2025-09-19,JFK,27
2025-09-19,EWR,20
2025-09-19,ATL,17
2025-09-19,LAX,16
2025-09-19,BOS,15
2025-09-19,ORD,10
2025-09-19,LGA,9
2025-09-19,PHL,9
2025-09-19,DEN,8
2025-09-19,SJU,8
2025-09-19,CLT,7
2025-09-19,DCA,7
2025-09-19,DFW,7
2025-09-19,DTW,7
2025-09-19,IAD,7
2025-09-20,JFK,27
2025-09-20,ORD,25
2025-09-20,BOS,24
2025-09-20,ATL,22
2025-09-20,DFW,19
2025-09-20,LAX,16
2025-09-20,PHL,15
2025-09-20,IAH,13
2025-09-20,MIA,13
2025-09-20,EWR,12
2025-09-20,SEA,12
2025-09-20,SFO,10
2025-09-20,DEN,9
2025-09-20,IAD,9
2025-09-20,LGA,8
2025-09-21,JFK,34
2025-09-21,ATL,32
2025-09-21,BOS,32
2025-09-21,EWR,25
2025-09-21,MIA,20
2025-09-21,LAX,17
2025-09-21,PHL,17
2025-09-21,DFW,16
2025-09-21,ORD,15
2025-09-21,SJU,15
2025-09-21,DTW,14
2025-09-21,DEN,13
2025-09-21,IAH,13
2025-09-21,LGA,12
2025-09-21,BWI,11
2025-09-22,JFK,29
2025-09-22,MIA,23
2025-09-22,ORD,22
2025-09-22,EWR,21
2025-09-22,IAD,20
2025-09-22,ATL,18
2025-09-22,BOS,14
2025-09-22,PHL,11
2025-09-22,SEA,11
2025-09-22,LAX,10
2025-09-22,LGA,10
2025-09-22,SJU,8
2025-09-22,CLE,7
2025-09-22,DCA,7
2025-09-22,CVG,5
2025-09-23,JFK,23
2025-09-23,EWR,16
2025-09-23,SFO,15
2025-09-23,ATL,14
2025-09-23,DEN,12
2025-09-23,LAX,10
2025-09-23,SEA,9
2025-09-23,MSP,8
2025-09-23,ORD,8
2025-09-23,SLC,8
2025-09-23,IAD,7
2025-09-23,MAN,7
2025-09-23,CLT,6
2025-09-23,FRA,6
2025-09-23,LGW,6
2025-09-24,ORD,39
2025-09-24,EWR,29
2025-09-24,JFK,27
2025-09-24,MIA,26
2025-09-24,DFW,17
2025-09-24,LAX,17
2025-09-24,ATL,16
2025-09-24,IAD,15
2025-09-24,IAH,15
2025-09-24,BOS,14
2025-09-24,DEN,14
2025-09-24,LGA,13
2025-09-24,PHL,11
2025-09-24,SJU,10
2025-09-24,CLT,9
