flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-07-31,1020,844,210,31,30
2025-08-01,985,855,185,36,31
2025-08-02,975,907,258,31,24
2025-08-03,972,943,138,33,1
2025-08-04,1014,875,275,21,5
2025-08-05,785,732,187,11,11
2025-08-06,846,744,207,19,4
