flight_date,destination,flights
2025-09-11,ATL,42
2025-09-11,JFK,32
2025-09-11,ORD,32
2025-09-11,EWR,20
2025-09-11,BOS,19
2025-09-11,DFW,18
2025-09-11,LAX,18
2025-09-11,PHL,18
2025-09-11,MIA,16
2025-09-11,DTW,14
2025-09-11,SJU,13
2025-09-11,DCA,11
2025-09-11,CLT,10
2025-09-11,SFO,10
2025-09-11,DEN,9
2025-09-12,ATL,53
2025-09-12,JFK,24
2025-09-12,DFW,20
2025-09-12,MIA,20
2025-09-12,EWR,19
2025-09-12,ORD,18
2025-09-12,PHL,15
2025-09-12,BOS,13
2025-09-12,SEA,12
2025-09-12,SJU,12
2025-09-12,CVG,11
2025-09-12,IAH,10
2025-09-12,LGA,10
2025-09-12,RDU,10
2025-09-12,LAX,7
2025-09-13,BOS,24
2025-09-13,ORD,23
2025-09-13,DFW,21
2025-09-13,LAX,21
2025-09-13,ATL,18
2025-09-13,JFK,18
2025-09-13,EWR,17
2025-09-13,PHL,15
2025-09-13,SJU,14
2025-09-13,IAH,13
2025-09-13,IAD,12
2025-09-13,LGA,11
2025-09-13,MIA,11
2025-09-13,CLT,9
2025-09-13,BOG,7
2025-09-14,JFK,57
2025-09-14,LAX,38
2025-09-14,ATL,36
2025-09-14,BOS,31
2025-09-14,EWR,24
2025-09-14,PHL,20
2025-09-14,LGA,14
2025-09-14,CLT,10
2025-09-14,ORD,10
2025-09-14,SJU,10
2025-09-14,IAD,9
2025-09-14,IAH,8
2025-09-14,MIA,7
2025-09-14,BNA,6
2025-09-14,SEA,6
2025-09-15,JFK,56
2025-09-15,ATL,48
2025-09-15,LAX,24
2025-09-15,BOS,22
2025-09-15,PHL,20
2025-09-15,DFW,19
2025-09-15,ORD,18
2025-09-15,MIA,17
2025-09-15,DTW,15
2025-09-15,EWR,13
2025-09-15,SJU,13
2025-09-15,IAH,11
2025-09-15,LGA,10
2025-09-15,SFO,10
2025-09-15,BOG,9
2025-09-16,ATL,27
2025-09-16,JFK,20
2025-09-16,PHL,20
2025-09-16,DTW,17
2025-09-16,EWR,16
2025-09-16,MIA,15
2025-09-16,BOS,12
2025-09-16,DFW,12
2025-09-16,LAX,11
2025-09-16,DEN,9
2025-09-16,IAH,8
2025-09-16,LGA,8
2025-09-16,ORD,8
2025-09-16,CLT,7
2025-09-16,FRA,7
2025-09-17,ATL,27
2025-09-17,EWR,21
2025-09-17,ORD,21
2025-09-17,JFK,16
2025-09-17,DFW,15
2025-09-17,PHL,14
2025-09-17,IAD,13
2025-09-17,SLC,12
2025-09-17,BOS,10
2025-09-17,LGA,10
2025-09-17,SEA,10
2025-09-17,MIA,9
2025-09-17,SJU,9
2025-09-17,CLT,8
2025-09-17,DEN,8
