flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-10-02,434,422,239,30,2
2025-10-03,442,584,258,51,0
2025-10-04,453,703,293,68,0
2025-10-05,443,697,283,77,1
2025-10-06,488,249,388,51,0
2025-10-07,365,393,129,29,0
2025-10-08,375,295,185,46,0
