flight_date,destination,flights
2025-09-04,JFK,27
2025-09-04,BOS,22
2025-09-04,ORD,17
2025-09-04,EWR,13
2025-09-04,LAX,13
2025-09-04,DFW,12
2025-09-04,LGA,12
2025-09-04,MIA,11
2025-09-04,ATL,10
2025-09-04,PHL,10
2025-09-04,SFO,10
2025-09-04,DEN,9
2025-09-04,CLT,7
2025-09-04,IAD,7
2025-09-04,SEA,7
2025-09-05,ATL,48
2025-09-05,JFK,47
2025-09-05,LAX,25
2025-09-05,ORD,22
2025-09-05,MIA,19
2025-09-05,PHL,18
2025-09-05,DFW,15
2025-09-05,LGA,15
2025-09-05,SJU,15
2025-09-05,SEA,13
2025-09-05,DEN,11
2025-09-05,EWR,11
2025-09-05,SFO,10
2025-09-05,MSP,9
2025-09-05,RDU,9
2025-09-06,ATL,48
2025-09-06,JFK,32
2025-09-06,LAX,25
2025-09-06,ORD,22
2025-09-06,IAD,18
2025-09-06,EWR,16
2025-09-06,PHL,15
2025-09-06,IAH,14
2025-09-06,DFW,13
2025-09-06,SJU,13
2025-09-06,DTW,12
2025-09-06,LGA,12
2025-09-06,SFO,11
2025-09-06,BOS,10
2025-09-06,CLT,8
2025-09-07,ATL,45
2025-09-07,ORD,44
2025-09-07,JFK,39
2025-09-07,SFO,21
2025-09-07,MIA,20
2025-09-07,BOS,19
2025-09-07,DFW,19
2025-09-07,LAX,18
2025-09-07,IAD,15
2025-09-07,EWR,13
2025-09-07,LGW,13
2025-09-07,PHL,12
2025-09-07,DTW,11
2025-09-07,MSP,11
2025-09-07,DEN,9
2025-09-08,JFK,49
2025-09-08,LAX,29
2025-09-08,ATL,26
2025-09-08,MIA,21
2025-09-08,BOS,12
2025-09-08,LGW,12
2025-09-08,DEN,11
2025-09-08,DFW,11
2025-09-08,EWR,11
2025-09-08,IAD,11
2025-09-08,PHL,9
2025-09-08,DCA,8
2025-09-08,LGA,8
2025-09-08,ORD,8
2025-09-08,RDU,8
2025-09-09,ATL,37
2025-09-09,JFK,21
2025-09-09,EWR,20
2025-09-09,ORD,20
2025-09-09,LGW,12
2025-09-09,MIA,12
2025-09-09,LAX,11
2025-09-09,CVG,9
2025-09-09,DEN,8
2025-09-09,DTW,8
2025-09-09,LGA,8
2025-09-09,DFW,7
2025-09-09,IAH,7
2025-09-09,SJU,6
2025-09-09,BOS,5
2025-09-10,ATL,57
2025-09-10,BOS,23
2025-09-10,JFK,15
2025-09-10,MIA,15
2025-09-10,DEN,14
2025-09-10,DFW,11
2025-09-10,ORD,11
2025-09-10,SEA,10
2025-09-10,SFO,10
2025-09-10,DCA,8
2025-09-10,IAH,8
2025-09-10,LAX,7
2025-09-10,MEX,7
2025-09-10,EWR,6
2025-09-10,LGA,6
