flight_date,airline_name,airline_iata,flights
2025-10-09,Southwest Airlines,WN,109
2025-10-09,Spirit Airlines,NK,47
2025-10-09,American Airlines,AA,45
2025-10-09,Delta Air Lines,DL,42
2025-10-09,Azul,AD,29
2025-10-09,JetBlue Airways,B6,28
2025-10-09,LATAM Airlines,LA,28
2025-10-09,United Airlines,UA,27
2025-10-09,Frontier Airlines,F9,26
2025-10-09,Virgin Atlantic,VS,21
2025-10-09,Volaris,Y4,21
2025-10-09,Qatar Airways,QR,18
2025-10-09,Gol,G3,15
2025-10-09,WestJet,WS,15
2025-10-09,British Airways,BA,14
2025-10-09,Iberia,IB,12
2025-10-09,Air New Zealand,NZ,11
2025-10-09,Copa Airlines,CM,11
2025-10-09,Hawaiian Airlines,HA,11
2025-10-09,Aeromexico,AM,10
2025-10-09,KLM,KL,10
2025-10-09,Aer Lingus,EI,9
2025-10-09,Air Canada,AC,9
2025-10-09,empty,,9
2025-10-09,Air France,AF,8
2025-10-09,El Al,LY,7
2025-10-09,Icelandair,FI,7
2025-10-09,Breeze Airways,MX,6
2025-10-09,Korean Air,KE,6
2025-10-09,UPS Airlines,5X,6
2025-10-09,ANA,NH,5
2025-10-09,Alaska Airlines,AS,5
2025-10-09,AlphaSky,AS,5
2025-10-09,Japan Airlines,JL,5
2025-10-09,Qantas,QF,5
2025-10-09,Etihad Airways,EY,4
2025-10-09,Flexjet,LXJ,4
2025-10-09,LOT - Polish Airlines,LO,4
2025-10-09,TAP Air Portugal,TP,4
2025-10-09,Cathay Pacific,CX,3
2025-10-09,FedEx,FX,3
2025-10-09,Finnair,AY,3
2025-10-09,Virgin Australia,VA,3
2025-10-09,21 Air,2I,2
2025-10-09,Air Canada Rouge,RV,2
2025-10-09,Air Tahiti Nui,TN,2
2025-10-09,Air Transat,TS,2
2025-10-09,Alitalia,AZ,2
2025-10-09,DHL Air,D0,2
2025-10-09,EuroAtlantic Airways,YU,2
2025-10-09,Fiji Airways,FJ,2
2025-10-09,Lufthansa,LH,2
2025-10-09,NetJets Aviation,1I,2
2025-10-09,Royal Air Maroc,AT,2
2025-10-09,Royal Jordanian,RJ,2
2025-10-09,SA AVIANCA,AV,2
2025-10-09,Starlux,JX,2
2025-10-09,Turkish Airlines,TK,2
2025-10-09,Aerolineas Argentinas,AR,1
2025-10-09,Air Europa,UX,1
2025-10-09,Aircraft Management Group,,1
2025-10-09,Allegiant Air,G4,1
2025-10-09,Amerijet International,M6,1
2025-10-09,Avelo Airlines,XP,1
2025-10-09,Brussels Airlines,SN,1
2025-10-09,Emirates,EK,1
2025-10-09,Executive Flight Services,,1
2025-10-09,Fly Alliance,,1
2025-10-09,Gulf Air,GF,1
2025-10-09,National Airlines,N8,1
2025-10-09,Porter,PD,1
2025-10-09,Porter Airlines,PD,1
2025-10-09,Quest Diagnostics,LBQ,1
2025-10-09,SAS,SK,1
2025-10-09,STAjets,,1
2025-10-09,SWISS,LX,1
2025-10-09,Singapore Airlines,SQ,1
2025-10-09,Vista America,,1
2025-10-09,VivaAerobus,VB,1
2025-10-10,Southwest Airlines,WN,136
2025-10-10,American Airlines,AA,62
2025-10-10,Delta Air Lines,DL,61
2025-10-10,Azul,AD,49
2025-10-10,Spirit Airlines,NK,45
2025-10-10,Frontier Airlines,F9,44
2025-10-10,JetBlue Airways,B6,41
2025-10-10,United Airlines,UA,41
2025-10-10,LATAM Airlines,LA,39
2025-10-10,Virgin Atlantic,VS,35
2025-10-10,Volaris,Y4,33
2025-10-10,WestJet,WS,23
2025-10-10,British Airways,BA,22
2025-10-10,Qatar Airways,QR,22
2025-10-10,Aeromexico,AM,18
2025-10-10,Breeze Airways,MX,17
2025-10-10,Copa Airlines,CM,17
2025-10-10,Aer Lingus,EI,15
2025-10-10,Air Canada,AC,15
2025-10-10,Hawaiian Airlines,HA,15
2025-10-10,Air New Zealand,NZ,14
2025-10-10,Iberia,IB,14
2025-10-10,KLM,KL,13
2025-10-10,Korean Air,KE,13
2025-10-10,Air France,AF,11
2025-10-10,Qantas,QF,11
2025-10-10,Gol,G3,10
2025-10-10,AlphaSky,AS,8
2025-10-10,Japan Airlines,JL,7
2025-10-10,ANA,NH,6
2025-10-10,Air Canada Rouge,RV,6
2025-10-10,Icelandair,FI,6
2025-10-10,Air Tahiti Nui,TN,5
2025-10-10,Brussels Airlines,SN,5
2025-10-10,Lufthansa,LH,5
2025-10-10,TAP Air Portugal,TP,5
2025-10-10,Alaska Airlines,AS,4
2025-10-10,Austrian,OS,4
2025-10-10,Etihad Airways,EY,4
2025-10-10,Turkish Airlines,TK,4
2025-10-10,Virgin Australia,VA,4
2025-10-10,empty,,4
2025-10-10,Air Transat,TS,3
2025-10-10,Cathay Pacific,CX,3
2025-10-10,FedEx,FX,3
2025-10-10,Finnair,AY,3
