flight_date,destination,flights
2025-08-28,ATL,41
2025-08-28,ORD,40
2025-08-28,BOS,28
2025-08-28,IAH,16
2025-08-28,SJU,15
2025-08-28,JFK,14
2025-08-28,DFW,12
2025-08-28,LAX,12
2025-08-28,PHL,12
2025-08-28,LGW,11
2025-08-28,MIA,10
2025-08-28,DEN,9
2025-08-28,IAD,9
2025-08-28,CLT,7
2025-08-28,EWR,7
2025-08-29,ATL,52
2025-08-29,ORD,47
2025-08-29,JFK,30
2025-08-29,BOS,29
2025-08-29,MIA,20
2025-08-29,DFW,18
2025-08-29,LAX,18
2025-08-29,PHL,18
2025-08-29,EWR,15
2025-08-29,CLT,10
2025-08-29,IAD,10
2025-08-29,IAH,10
2025-08-29,DCA,9
2025-08-29,SJU,8
2025-08-29,LGA,7
2025-08-30,ORD,29
2025-08-30,JFK,21
2025-08-30,DFW,18
2025-08-30,SJU,18
2025-08-30,IAD,14
2025-08-30,LAX,14
2025-08-30,ATL,13
2025-08-30,DTW,13
2025-08-30,MIA,13
2025-08-30,SFO,12
2025-08-30,BOS,11
2025-08-30,PHL,10
2025-08-30,IAH,9
2025-08-30,EWR,8
2025-08-30,LGW,8
2025-08-31,ATL,64
2025-08-31,JFK,38
2025-08-31,BOS,34
2025-08-31,MIA,19
2025-08-31,ORD,16
2025-08-31,DFW,15
2025-08-31,EWR,15
2025-08-31,DTW,13
2025-08-31,IAD,13
2025-08-31,PHL,13
2025-08-31,FLL,12
2025-08-31,SFO,11
2025-08-31,SJU,11
2025-08-31,BOG,9
2025-08-31,IAH,9
2025-09-01,JFK,55
2025-09-01,ORD,28
2025-09-01,MIA,20
2025-09-01,DEN,15
2025-09-01,ATL,13
2025-09-01,EWR,13
2025-09-01,PHL,13
2025-09-01,LAX,12
2025-09-01,SJU,10
2025-09-01,BOS,9
2025-09-01,CLT,9
2025-09-01,DFW,9
2025-09-01,RDU,7
2025-09-01,LGA,6
2025-09-01,BWI,5
2025-09-02,JFK,39
2025-09-02,ATL,28
2025-09-02,EWR,26
2025-09-02,BOS,24
2025-09-02,ORD,23
2025-09-02,MIA,16
2025-09-02,PHL,13
2025-09-02,DTW,12
2025-09-02,LAX,12
2025-09-02,SJU,11
2025-09-02,DCA,8
2025-09-02,LGA,8
2025-09-02,MUC,6
2025-09-02,BNA,5
2025-09-02,DEN,5
2025-09-03,ATL,41
2025-09-03,JFK,38
2025-09-03,ORD,22
2025-09-03,EWR,21
2025-09-03,LAX,20
2025-09-03,SFO,16
2025-09-03,DTW,14
2025-09-03,BOS,11
2025-09-03,IAH,11
2025-09-03,LHR,8
2025-09-03,SLC,8
2025-09-03,PHL,7
2025-09-03,LGA,6
2025-09-03,MIA,6
2025-09-03,SEA,6
