flight_date,destination,flights
2025-09-18,ATL,32
2025-09-18,MIA,21
2025-09-18,EWR,19
2025-09-18,LAX,17
2025-09-18,PHL,16
2025-09-18,JFK,14
2025-09-18,ORD,14
2025-09-18,DFW,13
2025-09-18,DCA,11
2025-09-18,IAH,10
2025-09-18,DEN,9
2025-09-18,RDU,9
2025-09-18,DTW,8
2025-09-18,IAD,8
2025-09-18,MAN,6
2025-09-19,ATL,46
2025-09-19,JFK,40
2025-09-19,ORD,33
2025-09-19,BOS,19
2025-09-19,DFW,17
2025-09-19,DEN,16
2025-09-19,MIA,16
2025-09-19,DTW,14
2025-09-19,PHL,13
2025-09-19,SJU,12
2025-09-19,EWR,10
2025-09-19,IAH,10
2025-09-19,RDU,10
2025-09-19,SEA,10
2025-09-19,DCA,8
2025-09-20,ATL,51
2025-09-20,JFK,31
2025-09-20,DFW,23
2025-09-20,ORD,17
2025-09-20,BOS,16
2025-09-20,LAX,16
2025-09-20,MIA,16
2025-09-20,DTW,15
2025-09-20,IAH,13
2025-09-20,EWR,11
2025-09-20,SFO,11
2025-09-20,DEN,9
2025-09-20,LGA,8
2025-09-20,RDU,8
2025-09-20,MSP,7
2025-09-21,JFK,39
2025-09-21,ATL,27
2025-09-21,BOS,23
2025-09-21,MIA,22
2025-09-21,LAX,18
2025-09-21,PHL,17
2025-09-21,IAH,16
2025-09-21,DFW,15
2025-09-21,ORD,15
2025-09-21,LGA,12
2025-09-21,RDU,10
2025-09-21,SJU,10
2025-09-21,CVG,9
2025-09-21,MSP,9
2025-09-21,SLC,9
2025-09-22,LAX,34
2025-09-22,JFK,31
2025-09-22,ORD,31
2025-09-22,ATL,21
2025-09-22,EWR,19
2025-09-22,PHL,16
2025-09-22,CLT,14
2025-09-22,CVG,10
2025-09-22,DTW,9
2025-09-22,IAD,9
2025-09-22,IAH,9
2025-09-22,DCA,7
2025-09-22,DFW,7
2025-09-22,LGA,7
2025-09-22,YYZ,7
2025-09-23,ATL,44
2025-09-23,JFK,33
2025-09-23,ORD,30
2025-09-23,BOS,23
2025-09-23,EWR,21
2025-09-23,MIA,14
2025-09-23,PHL,12
2025-09-23,IAH,11
2025-09-23,LGA,9
2025-09-23,SLC,8
2025-09-23,DEN,6
2025-09-23,DFW,6
2025-09-23,DTW,6
2025-09-23,FRA,6
2025-09-23,IAD,5
2025-09-24,ATL,37
2025-09-24,JFK,32
2025-09-24,BOS,24
2025-09-24,ORD,22
2025-09-24,DFW,19
2025-09-24,MIA,15
2025-09-24,LAX,14
2025-09-24,IAH,13
2025-09-24,SFO,11
2025-09-24,CVG,9
2025-09-24,IAD,9
2025-09-24,DTW,8
2025-09-24,EWR,8
2025-09-24,PHL,8
2025-09-24,PTY,7
