flight_date,airline_name,airline_iata,flights
2025-09-25,Southwest Airlines,WN,67
2025-09-25,Delta Air Lines,DL,45
2025-09-25,Spirit Airlines,NK,44
2025-09-25,American Airlines,AA,41
2025-09-25,LATAM Airlines,LA,33
2025-09-25,Azul,AD,32
2025-09-25,Frontier Airlines,F9,30
2025-09-25,Virgin Atlantic,VS,28
2025-09-25,United Airlines,UA,27
2025-09-25,JetBlue Airways,B6,22
2025-09-25,Volaris,Y4,22
2025-09-25,Copa Airlines,CM,17
2025-09-25,Qatar Airways,QR,17
2025-09-25,Air New Zealand,NZ,13
2025-09-25,Korean Air,KE,13
2025-09-25,WestJet,WS,13
2025-09-25,Aeromexico,AM,12
2025-09-25,Gol,G3,12
2025-09-25,Air France,AF,11
2025-09-25,British Airways,BA,11
2025-09-25,Iberia,IB,11
2025-09-25,Hawaiian Airlines,HA,10
2025-09-25,Air Canada,AC,8
2025-09-25,Breeze Airways,MX,8
2025-09-25,Aer Lingus,EI,7
2025-09-25,Air Tahiti Nui,TN,7
2025-09-25,AlphaSky,AS,7
2025-09-25,El Al,LY,7
2025-09-25,KLM,KL,7
2025-09-25,Air Canada Rouge,RV,6
2025-09-25,Qantas,QF,6
2025-09-25,SAS,SK,6
2025-09-25,Alaska Airlines,AS,5
2025-09-25,FedEx,FX,5
2025-09-25,Japan Airlines,JL,5
2025-09-25,Turkish Airlines,TK,5
2025-09-25,UPS Airlines,5X,5
2025-09-25,Virgin Australia,VA,5
2025-09-25,empty,,4
2025-09-25,ANA,NH,3
2025-09-25,Air Europa,UX,3
2025-09-25,Brussels Airlines,SN,3
2025-09-25,Cathay Pacific,CX,3
2025-09-25,Icelandair,FI,3
2025-09-25,Lufthansa,LH,3
2025-09-25,NetJets Aviation,1I,3
2025-09-25,SA AVIANCA,AV,3
2025-09-25,TAP Air Portugal,TP,3
2025-09-25,21 Air,2I,2
2025-09-25,Aerolineas Argentinas,AR,2
2025-09-25,Alaska Airlines (Boeing 100 years strong Livery),AS,2
2025-09-25,China Eastern Airlines,MU,2
2025-09-25,DHL Air,D0,2
2025-09-25,Fiji Airways,FJ,2
2025-09-25,Malaysia Airlines,MH,2
2025-09-25,Mountain Air Cargo,C2,2
2025-09-25,Philippine Airlines,PR,2
2025-09-25,Singapore Airlines,SQ,2
2025-09-25,Air Transat,TS,1
2025-09-25,Alaska airlines,AS,1
2025-09-25,Alitalia,AZ,1
2025-09-25,Allegiant Air,G4,1
2025-09-25,Austrian,OS,1
2025-09-25,Avelo Airlines,XP,1
2025-09-25,Baron Aviation Services,BVN,1
2025-09-25,Discover Airlines,4Y,1
2025-09-25,Ethiopian Airlines,ET,1
2025-09-25,Etihad Airways,EY,1
2025-09-25,EuroAtlantic Airways,YU,1
2025-09-25,Finnair,AY,1
2025-09-25,Gulf Air,GF,1
2025-09-25,LOT - Polish Airlines,LO,1
2025-09-25,Porter,PD,1
2025-09-25,Royal Jordanian,RJ,1
2025-09-25,SWISS,LX,1
2025-09-25,Summit Aviation,,1
2025-09-25,Sun Country Airlines,SY,1
2025-09-25,Wheels Up,,1
2025-09-26,Southwest Airlines,WN,73
2025-09-26,Delta Air Lines,DL,62
2025-09-26,Frontier Airlines,F9,48
2025-09-26,American Airlines,AA,42
2025-09-26,Spirit Airlines,NK,42
2025-09-26,LATAM Airlines,LA,41
2025-09-26,Volaris,Y4,36
2025-09-26,Azul,AD,35
2025-09-26,JetBlue Airways,B6,34
2025-09-26,United Airlines,UA,33
2025-09-26,Virgin Atlantic,VS,33
2025-09-26,Qatar Airways,QR,20
2025-09-26,Aeromexico,AM,19
2025-09-26,WestJet,WS,18
2025-09-26,Copa Airlines,CM,17
2025-09-26,Air France,AF,15
2025-09-26,Korean Air,KE,15
