flight_date,origin,flights
2025-08-28,JFK,50
2025-08-28,ATL,48
2025-08-28,MIA,39
2025-08-28,ORD,33
2025-08-28,LAX,26
2025-08-28,PHL,23
2025-08-28,BOS,20
2025-08-28,DFW,20
2025-08-28,SEA,16
2025-08-28,TPA,16
2025-08-28,EWR,14
2025-08-28,IAD,14
2025-08-28,LGA,12
2025-08-28,YYZ,12
2025-08-28,DTW,11
2025-08-29,JFK,41
2025-08-29,MIA,34
2025-08-29,ATL,30
2025-08-29,ORD,22
2025-08-29,BOS,20
2025-08-29,DEN,20
2025-08-29,DFW,20
2025-08-29,EWR,19
2025-08-29,LAX,13
2025-08-29,LGA,13
2025-08-29,DCA,11
2025-08-29,LGW,11
2025-08-29,IAH,10
2025-08-29,PHL,10
2025-08-29,CLE,9
2025-08-30,ATL,35
2025-08-30,LAX,21
2025-08-30,JFK,20
2025-08-30,SEA,16
2025-08-30,IAD,14
2025-08-30,BOS,12
2025-08-30,MIA,12
2025-08-30,SFO,10
2025-08-30,DFW,9
2025-08-30,EWR,9
2025-08-30,RDU,9
2025-08-30,CLE,8
2025-08-30,DEN,8
2025-08-30,IAH,8
2025-08-30,MEX,8
2025-08-31,JFK,50
2025-08-31,BOS,35
2025-08-31,EWR,20
2025-08-31,ORD,20
2025-08-31,MIA,16
2025-08-31,ATL,15
2025-08-31,LGA,15
2025-08-31,SJU,15
2025-08-31,LAX,14
2025-08-31,DEN,11
2025-08-31,DFW,11
2025-08-31,IAD,11
2025-08-31,CLT,9
2025-08-31,LGW,9
2025-08-31,YYZ,8
2025-09-01,ATL,30
2025-09-01,JFK,29
2025-09-01,ORD,26
2025-09-01,MIA,21
2025-09-01,EWR,14
2025-09-01,PHL,13
2025-09-01,BOS,12
2025-09-01,DFW,11
2025-09-01,DTW,9
2025-09-01,DCA,8
2025-09-01,LGA,8
2025-09-01,BNA,6
2025-09-01,IAH,6
2025-09-01,SJU,6
2025-09-01,PIT,5
2025-09-02,JFK,32
2025-09-02,MIA,20
2025-09-02,BOS,18
2025-09-02,ATL,14
2025-09-02,EWR,14
2025-09-02,DFW,13
2025-09-02,ORD,11
2025-09-02,SLC,11
2025-09-02,CLT,9
2025-09-02,DEN,9
2025-09-02,LAX,9
2025-09-02,IAH,8
2025-09-02,MAN,8
2025-09-02,LGW,7
2025-09-02,PHL,7
2025-09-03,JFK,31
2025-09-03,EWR,16
2025-09-03,ORD,16
2025-09-03,PHL,14
2025-09-03,LGA,13
2025-09-03,IAD,11
2025-09-03,SEA,11
2025-09-03,BOS,10
2025-09-03,DFW,10
2025-09-03,IAH,9
2025-09-03,ATL,8
2025-09-03,DEN,6
2025-09-03,LAX,6
2025-09-03,SJU,6
2025-09-03,DUB,5
