flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-10-09,415,306,309,47,0
2025-10-10,458,518,292,120,0
2025-10-11,330,338,209,74,0
2025-10-12,396,226,277,53,0
2025-10-13,453,104,256,16,0
2025-10-14,377,277,196,38,5
2025-10-15,329,286,128,14,0
