flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-09-04,317,405,148,58,0
2025-09-05,426,270,174,33,2
2025-09-06,390,321,205,60,6
2025-09-07,460,490,313,160,5
2025-09-08,361,475,272,34,1
2025-09-09,278,216,142,42,0
2025-09-10,318,417,152,32,0
