flight_date,airline_name,airline_iata,flights
2025-09-04,Southwest Airlines,WN,74
2025-09-04,Azul,AD,43
2025-09-04,Spirit Airlines,NK,42
2025-09-04,American Airlines,AA,40
2025-09-04,Delta Air Lines,DL,39
2025-09-04,Frontier Airlines,F9,35
2025-09-04,United Airlines,UA,35
2025-09-04,JetBlue Airways,B6,29
2025-09-04,LATAM Airlines,LA,25
2025-09-04,Volaris,Y4,23
2025-09-04,Qatar Airways,QR,22
2025-09-04,Virgin Atlantic,VS,20
2025-09-04,Air Canada,AC,17
2025-09-04,Gol,G3,16
2025-09-04,British Airways,BA,15
2025-09-04,Copa Airlines,CM,14
2025-09-04,Air New Zealand,NZ,12
2025-09-04,WestJet,WS,11
2025-09-04,Aer Lingus,EI,9
2025-09-04,Hawaiian Airlines,HA,9
2025-09-04,Aeromexico,AM,8
2025-09-04,Breeze Airways,MX,8
2025-09-04,Brussels Airlines,SN,8
2025-09-04,El Al,LY,8
2025-09-04,Iberia,IB,8
2025-09-04,Korean Air,KE,8
2025-09-04,Etihad Airways,EY,7
2025-09-04,KLM,KL,7
2025-09-04,Lufthansa,LH,6
2025-09-04,Qantas,QF,6
2025-09-04,UPS Airlines,5X,6
2025-09-04,Air Canada Rouge,RV,5
2025-09-04,Air France,AF,5
2025-09-04,Austrian,OS,5
2025-09-04,Japan Airlines,JL,5
2025-09-04,NetJets Aviation,1I,5
2025-09-04,SA AVIANCA,AV,5
2025-09-04,TAP Air Portugal,TP,5
2025-09-04,empty,,5
2025-09-04,ANA,NH,4
2025-09-04,Air Tahiti Nui,TN,4
2025-09-04,Cathay Pacific,CX,4
2025-09-04,SWISS,LX,4
2025-09-04,Alaska Airlines,AS,3
2025-09-04,AlphaSky,AS,3
2025-09-04,Discover Airlines,4Y,3
2025-09-04,FedEx,FX,3
2025-09-04,Finnair,AY,3
2025-09-04,Icelandair,FI,3
2025-09-04,LOT - Polish Airlines,LO,3
2025-09-04,SAS,SK,3
2025-09-04,Singapore Airlines,SQ,3
2025-09-04,Turkish Airlines,TK,3
2025-09-04,21 Air,2I,2
2025-09-04,Aerolineas Argentinas,AR,2
2025-09-04,EuroAtlantic Airways,YU,2
2025-09-04,Fiji Airways,FJ,2
2025-09-04,Gulf Air,GF,2
2025-09-04,Virgin Australia,VA,2
2025-09-04,Air Europa,UX,1
2025-09-04,Air Transat,TS,1
2025-09-04,Alaska Airlines (UNCF Livery),AS,1
2025-09-04,Alitalia,AZ,1
2025-09-04,Allegiant Air,G4,1
2025-09-04,Bahamasair,UP,1
2025-09-04,China Eastern Airlines,MU,1
2025-09-04,DHL Air,D0,1
2025-09-04,Ethiopian Airlines,ET,1
2025-09-04,Malaysia Airlines,MH,1
2025-09-04,Mountain Air Cargo,C2,1
