flight_date,origin,flights
2025-10-02,ATL,31
2025-10-02,BOS,27
2025-10-02,ORD,24
2025-10-02,JFK,21
2025-10-02,MIA,18
2025-10-02,PHL,16
2025-10-02,LAX,15
2025-10-02,EWR,14
2025-10-02,DFW,13
2025-10-02,IAH,11
2025-10-02,DCA,9
2025-10-02,DTW,9
2025-10-02,IAD,9
2025-10-02,CLT,8
2025-10-02,DEN,8
2025-10-03,ATL,40
2025-10-03,JFK,31
2025-10-03,BOS,27
2025-10-03,ORD,24
2025-10-03,DEN,19
2025-10-03,DFW,18
2025-10-03,LGA,18
2025-10-03,DTW,17
2025-10-03,EWR,16
2025-10-03,MIA,16
2025-10-03,SEA,16
2025-10-03,SJU,15
2025-10-03,LAX,14
2025-10-03,PHL,14
2025-10-03,IAD,12
2025-10-04,ATL,52
2025-10-04,ORD,45
2025-10-04,MIA,37
2025-10-04,BOS,33
2025-10-04,JFK,29
2025-10-04,EWR,25
2025-10-04,DFW,23
2025-10-04,LAX,18
2025-10-04,DEN,17
2025-10-04,SJU,17
2025-10-04,PHL,16
2025-10-04,SEA,16
2025-10-04,SFO,15
2025-10-04,RDU,14
2025-10-04,IAD,12
2025-10-05,BOS,44
2025-10-05,JFK,43
2025-10-05,ATL,41
2025-10-05,ORD,41
2025-10-05,MIA,40
2025-10-05,PHL,32
2025-10-05,EWR,27
2025-10-05,IAD,20
2025-10-05,DFW,17
2025-10-05,DTW,17
2025-10-05,IAH,17
2025-10-05,CLT,14
2025-10-05,DCA,14
2025-10-05,LGA,13
2025-10-05,SJU,13
2025-10-06,ATL,14
2025-10-06,BOS,13
2025-10-06,DEN,13
2025-10-06,IAD,12
2025-10-06,JFK,12
2025-10-06,MIA,12
2025-10-06,PHL,12
2025-10-06,EWR,11
2025-10-06,ORD,11
2025-10-06,LGA,8
2025-10-06,CLT,7
2025-10-06,RDU,7
2025-10-06,AUS,5
2025-10-06,BNA,5
2025-10-06,BOG,5
2025-10-07,ORD,26
2025-10-07,ATL,24
2025-10-07,MIA,23
2025-10-07,BOS,20
2025-10-07,EWR,17
2025-10-07,LAX,17
2025-10-07,JFK,14
2025-10-07,PHL,14
2025-10-07,DFW,13
2025-10-07,SEA,12
2025-10-07,DTW,10
2025-10-07,LGA,10
2025-10-07,MSP,10
2025-10-07,SFO,10
2025-10-07,DEN,9
2025-10-08,LAX,19
2025-10-08,BOS,18
2025-10-08,JFK,17
2025-10-08,ATL,15
2025-10-08,MIA,12
2025-10-08,SEA,10
2025-10-08,SFO,10
2025-10-08,DEN,8
2025-10-08,SJU,8
2025-10-08,EWR,7
2025-10-08,SLC,7
2025-10-08,DTW,6
2025-10-08,FRA,6
2025-10-08,IAD,6
2025-10-08,LGW,6
