flight_date,airline_name,airline_iata,flights
2025-08-14,Southwest Airlines,WN,63
2025-08-14,Delta Air Lines,DL,43
2025-08-14,American Airlines,AA,35
2025-08-14,Frontier Airlines,F9,34
2025-08-14,Spirit Airlines,NK,32
2025-08-14,LATAM Airlines,LA,30
2025-08-14,Volaris,Y4,27
2025-08-14,Azul,AD,26
2025-08-14,JetBlue Airways,B6,26
2025-08-14,United Airlines,UA,26
2025-08-14,Virgin Atlantic,VS,22
2025-08-14,Gol,G3,15
2025-08-14,WestJet,WS,15
2025-08-14,Aeromexico,AM,13
2025-08-14,British Airways,BA,13
2025-08-14,Copa Airlines,CM,13
2025-08-14,Air France,AF,12
2025-08-14,KLM,KL,12
2025-08-14,Qatar Airways,QR,12
2025-08-14,Air New Zealand,NZ,11
2025-08-14,Hawaiian Airlines,HA,11
2025-08-14,Air Canada,AC,8
2025-08-14,Iberia,IB,8
2025-08-14,Qantas,QF,8
2025-08-14,Alaska Airlines,AS,7
2025-08-14,Aer Lingus,EI,6
2025-08-14,Air Tahiti Nui,TN,6
2025-08-14,AlphaSky,AS,6
2025-08-14,Breeze Airways,MX,6
2025-08-14,Korean Air,KE,6
2025-08-14,Lufthansa,LH,6
2025-08-14,UPS Airlines,5X,5
2025-08-14,FedEx,FX,4
2025-08-14,Icelandair,FI,4
2025-08-14,TAP Air Portugal,TP,4
2025-08-14,empty,,4
2025-08-14,ANA,NH,3
2025-08-14,Cathay Pacific,CX,3
2025-08-14,El Al,LY,3
2025-08-14,Japan Airlines,JL,3
2025-08-14,Malaysia Airlines,MH,3
2025-08-14,Philippine Airlines,PR,3
2025-08-14,SA AVIANCA,AV,3
2025-08-14,Turkish Airlines,TK,3
2025-08-14,Virgin Australia,VA,3
2025-08-14,Air Canada Rouge,RV,2
2025-08-14,Alitalia,AZ,2
2025-08-14,Austrian,OS,2
2025-08-14,Brussels Airlines,SN,2
2025-08-14,DHL Air,D0,2
2025-08-14,Discover Airlines,4Y,2
2025-08-14,Emirates,EK,2
2025-08-14,Fiji Airways,FJ,2
2025-08-14,Finnair,AY,2
2025-08-14,SAS,SK,2
2025-08-14,SWISS,LX,2
2025-08-14,21 Air,2I,1
2025-08-14,Air Europa,UX,1
2025-08-14,Avelo Airlines,XP,1
2025-08-14,Ethiopian Airlines,ET,1
2025-08-14,Gulf Air,GF,1
2025-08-14,Kenya Airways,KQ,1
2025-08-14,LOT - Polish Airlines,LO,1
2025-08-14,Mountain Air Cargo,C2,1
2025-08-14,Norse,N0,1
2025-08-14,Norse UK,Z0,1
2025-08-14,Royal Air Maroc,AT,1
2025-08-14,Royal Jordanian,RJ,1
2025-08-14,Saudia,SV,1
2025-08-14,Singapore Airlines,SQ,1
2025-08-14,Vista America,,1
2025-08-14,,A1,1
2025-08-15,Southwest Airlines,WN,103
2025-08-15,Delta Air Lines,DL,58
2025-08-15,Azul,AD,57
2025-08-15,JetBlue Airways,B6,50
2025-08-15,Frontier Airlines,F9,45
2025-08-15,American Airlines,AA,43
2025-08-15,Spirit Airlines,NK,43
2025-08-15,United Airlines,UA,40
2025-08-15,Volaris,Y4,38
2025-08-15,LATAM Airlines,LA,36
2025-08-15,Virgin Atlantic,VS,34
2025-08-15,Aeromexico,AM,21
2025-08-15,Air France,AF,18
2025-08-15,KLM,KL,18
2025-08-15,Qatar Airways,QR,18
2025-08-15,WestJet,WS,18
2025-08-15,Air Canada,AC,17
2025-08-15,British Airways,BA,17
2025-08-15,Copa Airlines,CM,14
2025-08-15,Air New Zealand,NZ,13
2025-08-15,Gol,G3,13
2025-08-15,Hawaiian Airlines,HA,13
2025-08-15,Korean Air,KE,12
2025-08-15,Breeze Airways,MX,10
2025-08-15,Iberia,IB,10
2025-08-15,Aer Lingus,EI,9
2025-08-15,Qantas,QF,9
2025-08-15,AlphaSky,AS,8
2025-08-15,Japan Airlines,JL,7
2025-08-15,TAP Air Portugal,TP,7
2025-08-15,Alaska Airlines,AS,6
2025-08-15,SAS,SK,6
2025-08-15,Alitalia,AZ,5
2025-08-15,Brussels Airlines,SN,5
2025-08-15,Lufthansa,LH,5
2025-08-15,empty,,5
2025-08-15,ANA,NH,4
2025-08-15,Air Canada Rouge,RV,4
2025-08-15,Air Europa,UX,4
2025-08-15,Etihad Airways,EY,4
2025-08-15,Icelandair,FI,4
2025-08-15,Royal Air Maroc,AT,4
2025-08-15,SA AVIANCA,AV,4
2025-08-15,Air Tahiti Nui,TN,3
2025-08-15,Bahamasair,UP,3
2025-08-15,SWISS,LX,3
2025-08-15,DHL Air,D0,2
2025-08-15,El Al,LY,2
2025-08-15,Fiji Airways,FJ,2
2025-08-15,Gulf Air,GF,2
2025-08-15,LOT - Polish Airlines,LO,2
2025-08-15,Royal Jordanian,RJ,2
2025-08-15,Singapore Airlines,SQ,2
2025-08-15,Turkish Airlines,TK,2
2025-08-15,UPS Airlines,5X,2
2025-08-15,Virgin Australia,VA,2
2025-08-15,VivaAerobus,VB,2
2025-08-15,21 Air,2I,1
2025-08-15,Aerolineas Argentinas,AR,1
2025-08-15,Air Serbia,JU,1
2025-08-15,Air Transat,TS,1
2025-08-15,Allegiant Air,G4,1
2025-08-15,Austrian,OS,1
2025-08-15,Avelo Airlines,XP,1
2025-08-15,Caribbean Airlines,BW,1
2025-08-15,Cathay Pacific,CX,1
2025-08-15,Emirates,EK,1
2025-08-15,Finnair,AY,1
2025-08-15,NetJets Aviation,1I,1
2025-08-15,Norse,N0,1
2025-08-15,Porter,PD,1
2025-08-15,Saudia,SV,1
2025-08-15,Summit Aviation,,1
2025-08-15,flyExclusive,,1
2025-08-15,,A1,1
2025-08-16,Southwest Airlines,WN,91
2025-08-16,Azul,AD,43
2025-08-16,Spirit Airlines,NK,42
2025-08-16,Delta Air Lines,DL,41
2025-08-16,JetBlue Airways,B6,40
2025-08-16,American Airlines,AA,38
2025-08-16,United Airlines,UA,32
2025-08-16,LATAM Airlines,LA,25
2025-08-16,Frontier Airlines,F9,20
2025-08-16,Virgin Atlantic,VS,20
2025-08-16,Air France,AF,17
2025-08-16,Copa Airlines,CM,17
2025-08-16,WestJet,WS,17
2025-08-16,Aeromexico,AM,16
2025-08-16,Air Canada,AC,15
2025-08-16,Volaris,Y4,15
2025-08-16,Air New Zealand,NZ,14
2025-08-16,KLM,KL,13
2025-08-16,Qatar Airways,QR,13
2025-08-16,British Airways,BA,11
2025-08-16,Gol,G3,11
2025-08-16,Hawaiian Airlines,HA,11
2025-08-16,Iberia,IB,8
2025-08-16,Aer Lingus,EI,7
2025-08-16,Breeze Airways,MX,7
2025-08-16,Korean Air,KE,7
2025-08-16,Icelandair,FI,6
2025-08-16,Qantas,QF,6
2025-08-16,SA AVIANCA,AV,6
2025-08-16,TAP Air Portugal,TP,6
2025-08-16,Air Canada Rouge,RV,4
2025-08-16,Air Tahiti Nui,TN,4
2025-08-16,Alaska Airlines,AS,4
2025-08-16,Finnair,AY,4
2025-08-16,ANA,NH,3
2025-08-16,AlphaSky,AS,3
2025-08-16,Brussels Airlines,SN,3
2025-08-16,El Al,LY,3
2025-08-16,Lufthansa,LH,3
2025-08-16,SAS,SK,3
2025-08-16,Virgin Australia,VA,3
2025-08-16,Aerolineas Argentinas,AR,2
2025-08-16,Air Canada,RV,2
2025-08-16,Air Europa,UX,2
2025-08-16,Alitalia,AZ,2
2025-08-16,Austrian,OS,2
2025-08-16,Norse,N0,2
2025-08-16,Norse UK,Z0,2
2025-08-16,SWISS,LX,2
2025-08-16,Sun Country Airlines,SY,2
2025-08-16,,A1,2
2025-08-16,Air China LTD,CA,1
2025-08-16,Air Transat,TS,1
2025-08-16,Alaska airlines,AS,1
2025-08-16,Avelo Airlines,XP,1
2025-08-16,Cathay Pacific,CX,1
2025-08-16,China Eastern Airlines,MU,1
2025-08-16,Condor,DE,1
2025-08-16,Discover Airlines,4Y,1
2025-08-16,Emirates,EK,1
2025-08-16,Etihad Airways,EY,1
2025-08-16,FedEx,FX,1
2025-08-16,Fiji Airways,FJ,1
2025-08-16,Japan Airlines,JL,1
2025-08-16,LOT - Polish Airlines,LO,1
2025-08-16,Malaysia Airlines,MH,1
2025-08-16,National Airlines,N8,1
2025-08-16,NetJets Aviation,1I,1
2025-08-16,Philippine Airlines,PR,1
2025-08-16,Porter,PD,1
2025-08-16,Premier Private Jets,,1
2025-08-16,Royal Jordanian,RJ,1
2025-08-16,Saudia,SV,1
2025-08-16,Turkish Airlines,TK,1
2025-08-17,Southwest Airlines,WN,67
2025-08-17,Azul,AD,47
2025-08-17,Delta Air Lines,DL,44
2025-08-17,United Airlines,UA,43
2025-08-17,JetBlue Airways,B6,40
2025-08-17,Spirit Airlines,NK,37
2025-08-17,American Airlines,AA,34
2025-08-17,Frontier Airlines,F9,28
2025-08-17,LATAM Airlines,LA,24
2025-08-17,Virgin Atlantic,VS,23
2025-08-17,Air New Zealand,NZ,21
2025-08-17,Volaris,Y4,21
2025-08-17,Qatar Airways,QR,18
2025-08-17,Air Canada,AC,17
2025-08-17,British Airways,BA,15
2025-08-17,Air France,AF,14
2025-08-17,Copa Airlines,CM,13
2025-08-17,Aeromexico,AM,12
2025-08-17,WestJet,WS,11
2025-08-17,Korean Air,KE,10
2025-08-17,Breeze Airways,MX,9
2025-08-17,El Al,LY,8
2025-08-17,Aer Lingus,EI,7
2025-08-17,AlphaSky,AS,7
2025-08-17,Gol,G3,7
2025-08-17,Iberia,IB,7
2025-08-17,KLM,KL,7
