flight_date,destination,flights
2025-08-21,ATL,53
2025-08-21,ORD,42
2025-08-21,LAX,31
2025-08-21,MIA,28
2025-08-21,JFK,21
2025-08-21,BOS,19
2025-08-21,DFW,16
2025-08-21,LGA,16
2025-08-21,SEA,16
2025-08-21,IAH,14
2025-08-21,EWR,13
2025-08-21,SJU,12
2025-08-21,SFO,11
2025-08-21,DTW,10
2025-08-21,PHL,10
2025-08-22,JFK,49
2025-08-22,ATL,44
2025-08-22,BOS,40
2025-08-22,LAX,32
2025-08-22,DFW,19
2025-08-22,EWR,19
2025-08-22,ORD,17
2025-08-22,MIA,16
2025-08-22,IAD,13
2025-08-22,LGA,11
2025-08-22,BNA,9
2025-08-22,DTW,9
2025-08-22,CLT,7
2025-08-22,IAH,7
2025-08-22,MEX,7
2025-08-23,ATL,45
2025-08-23,BOS,24
2025-08-23,EWR,24
2025-08-23,ORD,23
2025-08-23,JFK,22
2025-08-23,LAX,21
2025-08-23,DFW,13
2025-08-23,SEA,13
2025-08-23,LGW,12
2025-08-23,SFO,12
2025-08-23,IAD,11
2025-08-23,MIA,11
2025-08-23,PHL,9
2025-08-23,YYZ,9
2025-08-23,CLT,8
2025-08-24,ATL,59
2025-08-24,JFK,38
2025-08-24,LAX,22
2025-08-24,DFW,19
2025-08-24,MIA,19
2025-08-24,EWR,14
2025-08-24,PHL,14
2025-08-24,DTW,11
2025-08-24,IAD,11
2025-08-24,DEN,10
2025-08-24,ORD,10
2025-08-24,LGA,9
2025-08-24,CLT,8
2025-08-24,SJU,8
2025-08-24,BOS,7
2025-08-25,ATL,35
2025-08-25,JFK,29
2025-08-25,ORD,24
2025-08-25,EWR,17
2025-08-25,DFW,16
2025-08-25,PHL,16
2025-08-25,DTW,14
2025-08-25,SEA,11
2025-08-25,SJU,10
2025-08-25,BOS,9
2025-08-25,LAX,9
2025-08-25,LGA,9
2025-08-25,BOG,8
2025-08-25,DEN,8
2025-08-25,IAH,8
2025-08-26,ATL,44
2025-08-26,JFK,33
2025-08-26,BOS,28
2025-08-26,LAX,21
2025-08-26,ORD,15
2025-08-26,MIA,13
2025-08-26,DFW,12
2025-08-26,DTW,12
2025-08-26,SEA,12
2025-08-26,PHL,11
2025-08-26,EWR,10
2025-08-26,IAH,10
2025-08-26,DEN,9
2025-08-26,YYZ,9
2025-08-26,CLT,7
2025-08-27,JFK,65
2025-08-27,ATL,47
2025-08-27,BOS,29
2025-08-27,ORD,29
2025-08-27,LAX,18
2025-08-27,MIA,18
2025-08-27,PHL,16
2025-08-27,DFW,15
2025-08-27,EWR,15
2025-08-27,IAH,15
2025-08-27,LGA,10
2025-08-27,DEN,9
2025-08-27,IAD,8
2025-08-27,SEA,8
2025-08-27,SJU,8
