flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-08-28,409,620,287,140,3
2025-08-29,440,467,236,74,3
2025-08-30,375,361,232,20,17
2025-08-31,435,410,267,46,8
2025-09-01,352,311,209,20,0
2025-09-02,310,334,168,45,0
2025-09-03,320,275,141,32,0
