flight_date,departures,arrivals,delayed_departures,delayed_arrivals,cancelled_flights
2025-09-18,337,497,168,60,0
2025-09-19,414,315,192,42,7
2025-09-20,393,394,132,24,5
2025-09-21,404,532,212,53,3
2025-09-22,340,311,143,28,0
2025-09-23,339,249,180,24,3
2025-09-24,349,440,202,81,1
