flight_date,origin,flights
2025-10-09,BOS,18
2025-10-09,ATL,17
2025-10-09,DFW,14
2025-10-09,LAX,12
2025-10-09,DEN,11
2025-10-09,IAH,11
2025-10-09,MIA,11
2025-10-09,JFK,10
2025-10-09,ORD,10
2025-10-09,PHL,9
2025-10-09,CLT,7
2025-10-09,LGA,7
2025-10-09,YYZ,7
2025-10-09,MAN,6
2025-10-09,MEX,6
2025-10-10,ATL,45
2025-10-10,ORD,25
2025-10-10,BOS,22
2025-10-10,JFK,21
2025-10-10,LAX,19
2025-10-10,PHL,19
2025-10-10,DFW,18
2025-10-10,IAD,15
2025-10-10,DEN,14
2025-10-10,IAH,14
2025-10-10,MIA,14
2025-10-10,LGA,13
2025-10-10,RDU,13
2025-10-10,SEA,12
2025-10-10,LGW,10
2025-10-11,ORD,20
2025-10-11,ATL,18
2025-10-11,MIA,18
2025-10-11,EWR,14
2025-10-11,LAX,14
2025-10-11,BOS,13
2025-10-11,PHL,13
2025-10-11,DFW,12
2025-10-11,RDU,12
2025-10-11,JFK,11
2025-10-11,DEN,10
2025-10-11,LHR,8
2025-10-11,SEA,8
2025-10-11,CVG,7
2025-10-11,DTW,7
2025-10-12,JFK,20
2025-10-12,ATL,19
2025-10-12,BOS,12
2025-10-12,ORD,10
2025-10-12,LAX,8
2025-10-12,IAD,7
2025-10-12,RDU,7
2025-10-12,SJU,7
2025-10-12,DTW,6
2025-10-12,FRA,6
2025-10-12,LGW,6
2025-10-12,PHL,6
2025-10-12,CLT,5
2025-10-12,DEN,5
2025-10-12,EWR,5
2025-10-13,JFK,14
2025-10-13,ATL,9
2025-10-13,SEA,8
2025-10-13,EWR,7
2025-10-13,ORD,7
2025-10-13,IAD,5
2025-10-13,PHL,5
2025-10-13,SFO,5
2025-10-13,BDL,3
2025-10-13,BNA,2
2025-10-13,BOS,2
2025-10-13,DAL,2
2025-10-13,DEN,2
2025-10-13,DTW,2
2025-10-13,GRU,2
2025-10-14,BOS,23
2025-10-14,ATL,21
2025-10-14,JFK,17
2025-10-14,MIA,15
2025-10-14,LAX,12
2025-10-14,ORD,12
2025-10-14,DEN,10
2025-10-14,EWR,9
2025-10-14,PHL,9
2025-10-14,IAD,7
2025-10-14,LGW,7
2025-10-14,RDU,7
2025-10-14,MUC,6
2025-10-14,YYZ,6
2025-10-14,BOG,5
2025-10-15,ATL,28
2025-10-15,ORD,19
2025-10-15,JFK,18
2025-10-15,EWR,12
2025-10-15,DFW,11
2025-10-15,LGA,11
2025-10-15,MIA,11
2025-10-15,BOS,10
2025-10-15,PHL,10
2025-10-15,DEN,8
2025-10-15,IAH,8
2025-10-15,LGW,7
2025-10-15,LAX,6
2025-10-15,DTW,5
2025-10-15,DUB,5
