flight_date,origin,flights
2025-10-16,ATL,27
2025-10-16,MIA,20
2025-10-16,BOS,17
2025-10-16,JFK,17
2025-10-16,ORD,17
2025-10-16,SEA,16
2025-10-16,DFW,13
2025-10-16,LAX,13
2025-10-16,SFO,10
2025-10-16,SLC,10
2025-10-16,DEN,9
2025-10-16,IAD,9
2025-10-16,IAH,9
2025-10-16,EWR,8
2025-10-16,DTW,7
2025-10-17,ATL,30
2025-10-17,LAX,21
2025-10-17,ORD,14
2025-10-17,PHL,13
2025-10-17,DTW,12
2025-10-17,EWR,11
2025-10-17,JFK,11
2025-10-17,MIA,10
2025-10-17,RDU,10
2025-10-17,DEN,9
2025-10-17,MSP,9
2025-10-17,CLT,7
2025-10-17,IND,7
2025-10-17,PTY,7
2025-10-17,SEA,6
2025-10-18,JFK,20
2025-10-18,ORD,20
2025-10-18,BOS,19
2025-10-18,ATL,16
2025-10-18,EWR,15
2025-10-18,SFO,15
2025-10-18,LAX,13
2025-10-18,DEN,12
2025-10-18,MIA,11
2025-10-18,PHL,11
2025-10-18,IAD,10
2025-10-18,DFW,9
2025-10-18,SJU,9
2025-10-18,SEA,8
2025-10-18,DCA,7
2025-10-19,JFK,18
2025-10-19,ATL,16
2025-10-19,ORD,16
2025-10-19,EWR,12
2025-10-19,BOS,11
2025-10-19,PHL,9
2025-10-19,DTW,8
2025-10-19,YYZ,8
2025-10-19,DCA,7
2025-10-19,LGA,6
2025-10-19,PTY,6
2025-10-19,MSP,4
2025-10-19,SJU,4
2025-10-19,CVG,3
2025-10-19,DFW,3
2025-10-20,ATL,51
2025-10-20,JFK,48
2025-10-20,ORD,39
2025-10-20,BOS,35
2025-10-20,EWR,28
2025-10-20,MIA,25
2025-10-20,DTW,16
2025-10-20,PHL,16
2025-10-20,LGA,15
2025-10-20,IAH,13
2025-10-20,MSP,13
2025-10-20,DCA,12
2025-10-20,CVG,11
2025-10-20,DFW,11
2025-10-20,IAD,11
2025-10-21,ATL,33
2025-10-21,MIA,23
2025-10-21,ORD,22
2025-10-21,JFK,20
2025-10-21,BOS,19
2025-10-21,PHL,14
2025-10-21,EWR,13
2025-10-21,MSP,13
2025-10-21,DFW,12
2025-10-21,LAX,11
2025-10-21,DTW,9
2025-10-21,IAD,9
2025-10-21,LGA,9
2025-10-21,DEN,8
2025-10-21,SLC,8
2025-10-22,ATL,26
2025-10-22,ORD,25
2025-10-22,JFK,21
2025-10-22,MIA,18
2025-10-22,BOS,14
2025-10-22,LGA,14
2025-10-22,DFW,12
2025-10-22,CLT,10
2025-10-22,PHL,10
2025-10-22,EWR,9
2025-10-22,IAD,9
2025-10-22,LGW,9
2025-10-22,MSP,9
2025-10-22,LAX,8
2025-10-22,DTW,7
