flight_date,airline_name,airline_iata,flights
2025-10-02,Southwest Airlines,WN,109
2025-10-02,Delta Air Lines,DL,54
2025-10-02,Spirit Airlines,NK,48
2025-10-02,American Airlines,AA,47
2025-10-02,Azul,AD,47
2025-10-02,United Airlines,UA,36
2025-10-02,JetBlue Airways,B6,34
2025-10-02,LATAM Airlines,LA,32
2025-10-02,Virgin Atlantic,VS,30
2025-10-02,Frontier Airlines,F9,26
2025-10-02,Qatar Airways,QR,24
2025-10-02,Gol,G3,21
2025-10-02,Volaris,Y4,21
2025-10-02,British Airways,BA,17
2025-10-02,Aeromexico,AM,16
2025-10-02,Air Canada,AC,16
2025-10-02,Air New Zealand,NZ,16
2025-10-02,Copa Airlines,CM,16
2025-10-02,KLM,KL,16
2025-10-02,WestJet,WS,16
2025-10-02,Air France,AF,15
2025-10-02,Korean Air,KE,12
2025-10-02,Hawaiian Airlines,HA,11
2025-10-02,Iberia,IB,10
2025-10-02,empty,,10
2025-10-02,Brussels Airlines,SN,9
2025-10-02,ANA,NH,8
2025-10-02,FedEx,FX,8
2025-10-02,Qantas,QF,8
2025-10-02,UPS Airlines,5X,8
2025-10-02,Aer Lingus,EI,7
2025-10-02,Air Canada Rouge,RV,6
2025-10-02,Breeze Airways,MX,6
2025-10-02,Lufthansa,LH,6
2025-10-02,AlphaSky,AS,5
2025-10-02,Japan Airlines,JL,5
2025-10-02,Air Tahiti Nui,TN,4
2025-10-02,Alaska Airlines,AS,4
2025-10-02,Austrian,OS,3
2025-10-02,Avelo Airlines,XP,3
2025-10-02,Cathay Pacific,CX,3
2025-10-02,Etihad Airways,EY,3
2025-10-02,Icelandair,FI,3
2025-10-02,LOT - Polish Airlines,LO,3
2025-10-02,NetJets Aviation,1I,3
2025-10-02,SWISS,LX,3
2025-10-02,Virgin Australia,VA,3
2025-10-02,21 Air,2I,2
2025-10-02,DHL Air,D0,2
2025-10-02,Fiji Airways,FJ,2
2025-10-02,Flexjet,LXJ,2
2025-10-02,Mountain Air Cargo,C2,2
2025-10-02,Royal Jordanian,RJ,2
2025-10-02,SA AVIANCA,AV,2
2025-10-02,TAP Air Portugal,TP,2
2025-10-02,Aerolineas Argentinas,AR,1
2025-10-02,Air Europa,UX,1
2025-10-02,Air Serbia,JU,1
2025-10-02,Air Transat,TS,1
2025-10-02,Amerijet International,M6,1
2025-10-02,Baron Aviation Services,BVN,1
2025-10-02,BellAir,,1
2025-10-02,China Eastern Airlines,MU,1
2025-10-02,Discover Airlines,4Y,1
2025-10-02,Emirates,EK,1
2025-10-02,Ethiopian Airlines,ET,1
2025-10-02,Finnair,AY,1
